KlassenindelingID	KlasseParent	KlasseChild
3158	2962	3333
3159	2962	3334
3160	2962	3335
3161	2962	3336
3162	2962	3337
3163	2962	3338
3164	2962	3339
3165	2962	3340
3166	2962	3341
3167	2962	3342
3168	2962	3343
3169	2962	3344
3170	2962	3345
3171	2962	3346
3172	2962	3347
3173	2962	3348
3174	2962	3352
3175	2962	3355
3176	2962	3356
3177	2962	3357
3178	2962	3358
3179	2962	3359
3180	2962	3360
3181	2962	3362
3182	2962	3364
3183	2962	3365
3184	2962	3366
3185	2962	3367
3186	2962	3368
3187	2962	3383
3188	2962	3388
3189	747	2977
3190	747	2978
3191	747	2979
3192	747	2980
3193	747	2981
3194	747	2982
3195	747	2983
3196	747	2984
3197	747	2985
3198	747	2986
3199	747	2987
3200	747	2988
3201	747	3009
3202	747	3010
3203	747	3011
3204	747	3012
3205	747	3013
3206	747	3014
3207	747	3015
3208	747	3016
3209	747	3032
3210	747	3033
3211	747	3034
3212	747	3035
3213	747	3036
3214	747	3037
3215	747	3038
3216	747	3043
3217	747	3044
3218	747	3045
3219	747	3046
3220	747	3047
3221	747	3048
3222	747	3050
3223	747	3051
3224	747	3052
3225	747	3053
3226	747	3054
3227	747	3055
3228	747	3056
3229	747	3057
3230	747	3058
3231	747	3059
3232	747	3060
3233	747	3061
3234	747	3064
3235	747	3065
3236	747	3066
3237	747	3068
3238	747	3069
3239	747	3070
3240	747	3071
3241	747	3076
3242	747	3077
3243	747	3078
3244	747	3079
3245	747	3080
3246	747	3081
3247	747	3082
3248	747	3083
3249	747	3084
3250	747	3085
3251	747	3086
3252	747	3088
3253	747	3089
3254	747	3092
3255	747	3093
3256	747	3094
3257	747	3095
3258	747	3096
3259	747	3097
3260	747	3098
3261	747	3099
3262	747	3100
3263	747	3101
3264	747	3102
3265	747	3103
3266	747	3104
3267	747	3105
3268	747	3106
3269	747	3107
3270	747	3108
3271	747	3109
3272	747	3110
3273	747	3111
3274	747	3112
3275	747	3113
3276	747	3114
3277	747	3115
3278	747	3116
3279	747	3117
3280	747	3118
3281	747	3119
3282	747	3120
3283	747	3121
3284	747	3122
3285	747	3123
3286	747	3124
3287	747	3125
3288	747	3127
3289	747	3136
3290	747	3137
3291	747	3138
3292	747	3142
3293	747	3143
3294	747	3144
3295	747	3145
3296	747	3146
3297	747	3147
3298	747	3148
3299	747	3149
3300	747	3150
3301	747	3151
3302	747	3152
3303	747	3153
3304	747	3154
3305	747	3157
3306	747	3158
3307	747	3159
3308	747	3162
3309	747	3163
3310	747	3164
3311	747	3169
3312	747	3170
3313	747	3171
3314	747	3172
3315	747	3173
3316	747	3174
3317	747	3175
3318	747	3190
3319	747	3191
3320	747	3192
3321	747	3193
3322	747	3194
3323	747	3195
3324	747	3196
3325	747	3197
3326	747	3198
3327	747	3199
3328	747	3200
3329	747	3201
3330	747	3202
3331	747	3203
3332	747	3204
3333	747	3205
3334	747	3206
3335	747	3207
3336	747	3208
3337	747	3211
3338	747	3212
3339	747	3215
3340	747	3231
3341	747	3232
3342	747	3233
3343	747	3234
3344	747	3235
3345	747	3236
3346	747	3237
3347	747	3238
3348	747	3239
3349	747	3240
3350	747	3241
3351	747	3242
3352	747	3243
3353	747	3252
3354	747	3253
3355	747	3254
3356	747	3255
3357	747	3256
3358	747	3257
3359	747	3258
3360	747	3259
3361	747	3260
3362	747	3261
3363	747	3265
3364	747	3266
3365	747	3267
3366	747	3268
3367	747	3269
3368	747	3270
3369	747	3271
3370	747	3272
3371	747	3273
3372	747	3274
3373	747	3275
3374	747	3276
3375	747	3277
3376	747	3278
3377	747	3279
3378	747	3280
3379	747	3281
3380	747	3282
3381	747	3283
3382	747	3284
3383	747	3285
3384	747	3286
3385	747	3288
3386	747	3289
3387	747	3290
3388	747	3293
3389	747	3294
3390	747	3295
3391	747	3307
3392	747	3318
3393	747	3319
3394	747	3320
3395	747	3322
3396	747	3323
3397	747	3349
3398	747	3350
3399	747	3351
3400	747	3353
3401	747	3354
3402	747	3361
3403	747	3363
3404	747	3369
3405	747	3370
3406	747	3371
3407	747	3372
3408	747	3373
3409	747	3374
3410	747	3375
3411	747	3376
3412	747	3377
3413	747	3378
3414	747	3379
3415	747	3380
3416	747	3381
3417	747	3382
3418	747	3384
3419	747	3385
3420	747	3386
3421	747	3387
3422	2962	3389
3423	2962	3390
3424	2962	3391
3425	2962	3392
3426	2962	3393
3427	2962	3394
3428	2962	3395
3429	2962	3396
3430	2962	3397
3431	350	3398
