AttribuutID	Attribuut	BovenliggendAttribuut	TypeAttribuut	Datatype
1258	774	null	14484	14578
1259	775	null	14483	14587
1260	776	null	14483	14587
1261	777	null	14483	14587
1262	778	null	14483	14587
1263	779	null	14483	14587
1265	781	null	14482	14581
1266	782	null	14486	14580
1268	784	null	14486	14580
1269	785	null	14481	14578
1270	786	null	14486	14580
1271	787	null	14486	14580
1272	788	null	14484	14578
1273	789	null	14484	14578
1274	790	null	14486	14580
1275	791	null	14482	14581
1276	792	null	14482	14587
1277	793	null	14486	14580
1278	794	null	14482	14587
1279	795	null	14482	14587
1280	796	null	14482	14583
1281	797	null	14482	14583
1282	798	null	14482	14583
1283	799	null	14481	14578
1284	800	null	14486	14580
1285	801	null	14481	14578
1288	804	null	14481	14578
1289	805	null	14482	14583
1290	806	null	14481	14578
1291	807	null	14482	14587
1292	808	null	14481	14578
1293	809	null	14481	14578
1294	810	null	14481	14578
1295	811	null	14481	14578
1297	813	null	14482	14583
1298	814	null	14482	14583
1299	815	null	14482	14583
1300	816	null	14482	14583
1301	817	null	14482	14583
1302	818	null	14481	14578
1304	820	null	14482	14587
1307	823	null	14481	14578
1311	827	null	14482	14581
1315	831	null	14486	14580
1316	832	null	14484	14578
1317	833	null	14484	14578
1318	834	null	14482	14586
1319	835	null	14486	14580
1320	836	null	14481	14578
1321	837	null	14486	14580
1322	838	null	14481	14578
1323	839	null	14481	14578
1324	840	null	14486	14580
1325	841	null	14486	14580
1326	842	null	14486	14580
1328	844	null	14484	14578
1333	849	null	14481	14578
1334	850	null	14481	14578
1336	852	null	14482	14583
1337	853	null	14482	14581
1338	854	null	14481	14578
1339	855	null	14482	14583
1340	856	null	14482	14583
1341	857	null	14482	14583
1354	870	null	14482	14583
1355	871	null	14482	14583
1356	872	null	14481	14578
1357	873	null	14482	14583
1358	874	null	14482	14583
1359	875	null	14482	14583
1360	876	null	14486	14580
1361	877	null	14482	14585
1362	878	null	14481	14578
1365	881	null	14481	14578
1367	883	null	14483	14581
1368	884	null	14485	14587
1369	885	null	14485	14587
1372	888	null	14482	14587
1375	891	null	14486	14580
1376	892	null	14486	14580
1377	893	null	14481	14578
1378	894	null	14481	14578
1380	896	null	14486	14580
1381	897	null	14481	14578
1382	898	null	14484	14578
1383	899	null	14482	14587
1384	900	null	14486	14580
1386	902	null	14482	14587
1387	903	null	14483	14587
1388	904	null	14482	14583
1389	905	null	14482	14583
1390	906	null	14482	14583
1391	907	null	14482	14583
1392	908	null	14482	14583
1393	909	null	14486	14580
1394	910	null	14482	14586
1396	912	null	14481	14578
1400	916	null	14482	14581
1401	917	null	14481	14578
1402	918	null	14482	14586
1403	919	null	14486	14580
1409	925	null	14482	14581
1410	926	null	14486	14580
1411	927	null	14486	14580
1412	928	null	14486	14580
1413	929	null	14482	14583
1414	930	null	14482	14583
1415	931	null	14482	14581
1416	932	null	14482	14581
1417	933	null	14482	14581
1418	934	null	14482	14581
1419	935	null	14486	14580
1421	937	null	14482	14583
1424	940	null	14486	14580
1425	941	null	14486	14580
1426	942	null	14482	14587
1427	943	null	14486	14580
1428	944	null	14482	14583
1429	945	null	14481	14578
1430	946	null	14482	14583
1431	947	null	14486	14580
1433	949	null	14482	14583
1434	950	null	14482	14583
1435	951	null	14486	14580
1436	952	null	14486	14580
1437	953	null	14481	14578
1438	954	null	14481	14578
1439	955	null	14482	14587
1440	956	null	14481	14578
1441	957	null	14484	14578
1442	958	null	14484	14578
1443	959	null	14484	14578
1445	961	null	14486	14580
1446	962	null	14481	14578
1448	964	null	14481	14578
1449	965	null	14482	14583
1450	966	null	14482	14583
1451	967	null	14484	14578
1452	968	null	14486	14580
1453	969	null	14482	14583
1454	970	null	14481	14578
1455	971	null	14484	14578
1457	973	null	14484	14578
1461	977	null	14482	14586
1462	978	null	14482	14586
1463	979	null	14482	14587
1468	984	null	14482	14583
1469	985	null	14484	14578
1471	987	null	14485	14587
1472	988	null	14482	14583
1473	989	null	14482	14583
1474	990	null	14482	14583
1475	991	null	14482	14583
1476	992	null	14482	14587
1477	993	null	14482	14583
1478	994	null	14484	14578
1479	995	null	14484	14578
1480	996	null	14486	14580
1481	997	null	14484	14578
1482	998	null	14484	14578
1483	999	null	14484	14578
1484	1000	null	14484	14578
1485	1001	null	14482	14583
1486	1002	null	14484	14578
1487	1003	null	14486	14580
1488	1004	null	14486	14580
1489	1005	null	14486	14580
1490	1006	null	14481	14578
1491	1007	null	14484	14578
1492	1008	null	14482	14583
1493	1009	null	14482	14583
1494	1010	null	14482	14583
1495	1011	null	14482	14583
1496	1012	null	14482	14583
1497	1013	null	14482	14583
1498	1014	null	14482	14587
1501	1017	null	14481	14578
1502	1018	null	14481	14578
1503	1019	null	14486	14580
1504	1020	null	14481	14578
1505	1021	null	14482	14583
1509	1025	null	14483	14578
1510	1026	null	14483	14578
1511	1027	null	14483	14578
1512	1028	null	14482	14581
1513	1029	null	14482	14586
1514	1030	null	14486	14580
1515	1031	null	14481	14578
1516	1032	null	14482	14586
1517	1033	null	14481	14578
1518	1034	null	14481	14578
1521	1037	null	14482	14583
1522	1038	null	14486	14580
1523	1039	null	14486	14580
1525	1041	null	14481	14578
1526	1042	null	14486	14580
1527	1043	null	14482	14583
1528	1044	null	14482	14586
1529	1045	null	14486	14580
1531	1047	null	14482	14586
1533	1049	null	14482	14583
1534	1050	null	14482	14587
1535	1051	null	14482	14583
1536	1052	null	14481	14578
1537	1053	null	14482	14583
1538	1054	null	14484	14578
1539	1055	null	14486	14580
1540	1056	null	14482	14587
1541	1057	null	14482	14583
1542	1058	null	14484	14578
1543	1059	null	14481	14578
1547	1063	null	14482	14583
1548	1064	null	14482	14583
1549	1065	null	14482	14587
1550	1066	null	14486	14580
1551	1067	null	14481	14578
1552	1068	null	14481	14578
1553	1069	null	14481	14578
1554	1070	null	14481	14578
1555	1071	null	14481	14578
1556	1072	null	14481	14578
1557	1073	null	14481	14578
1560	1076	null	14483	14587
1562	14456	null	14482	14581
1563	14455	null	14482	14587
1564	14457	null	14482	14587
1565	14459	null	14481	14578
1566	14460	null	14483	14579
1567	14473	null	14484	14578
1569	802	null	14486	14580
1570	14593	null	14483	14587
1571	14594	null	14482	14538
1572	14595	null	14482	14538
1573	14631	null	14481	14578
1578	14652	null	14481	14578
1579	14666	null	14482	14587
1580	14663	null	14482	14587
1581	14664	null	14482	14587
1582	14665	null	14482	14587
1583	14653	null	14482	14586
1584	14667	null	14482	14586
1585	14668	null	14482	14586
1586	14669	null	14486	14580
1587	14670	null	14481	14578
1588	14680	null	14482	14583
1589	14679	null	14482	14583
1590	14678	null	14482	14583
1591	14677	null	14482	14583
1592	14694	null	14481	14578
1595	14763	null	14481	14578
1596	14767	null	14481	14578
1599	14784	null	14482	14587
1601	14848	null	14484	14578
1602	14847	null	14481	14578
1603	14801	null	14483	14587
1604	14797	null	14483	14587
1605	14798	null	14483	14587
1606	14903	null	14481	14578
1607	14990	null	14481	14578
1608	568	null	14482	14585
1612	14997	null	14481	14578
1613	15186	null	14486	14580
1614	15229	null	14481	14578
1615	15256	null	14481	14578
1616	15263	null	14486	14580
1617	15264	null	14486	14580
1618	15272	null	14486	14580
1619	15274	null	14481	14578
1620	15276	null	14481	14578
1621	15281	null	14481	14578
1622	15378	null	14481	14578
1623	15379	null	14481	14578
1624	15392	null	14486	14580
1625	15401	null	14483	14587
1626	15402	null	14483	14587
1627	15403	null	14483	14587
1628	15404	null	14483	14587
1629	15405	null	14482	14587
1630	15407	null	14483	14587
1631	15412	null	14483	14587
1632	15413	null	14483	14587
1633	15419	null	14482	14587
1634	15420	null	14482	14587
1635	15496	null	14482	14583
1636	15497	null	14482	14587
1637	15498	null	14482	14583
