KlasseID	Klasse	Volgorde
458	9580	11
459	9955	11
460	9956	11
461	9581	11
462	9582	11
463	9583	11
464	9584	11
465	10740	11
466	11450	11
467	10547	11
468	10549	11
469	10551	11
470	10560	11
471	9739	11
472	9750	11
473	11882	11
474	9736	11
475	10576	11
476	9826	11
477	10584	11
478	10587	11
479	10483	11
480	9735	11
481	10598	11
482	12288	11
484	10614	11
485	9733	11
486	9825	11
487	10619	11
488	10620	11
489	10621	11
490	9730	11
491	12695	11
492	9729	11
493	10635	11
494	10504	11
495	10638	11
496	12884	11
497	10477	11
498	12890	11
499	10647	11
500	9727	11
501	10649	11
502	9787	11
503	10654	11
504	10663	11
505	12986	11
506	10673	11
507	9751	11
508	10273	11
509	9725	11
510	10686	11
511	10506	11
512	10692	11
513	10693	11
514	13050	11
516	9752	11
517	10711	11
518	9754	11
519	10714	11
520	10507	11
521	9721	11
522	13277	11
523	9720	11
524	10723	11
525	9717	11
526	13368	11
527	9716	11
528	9715	11
529	9731	11
530	14808	8
531	14807	8
532	14814	11
533	14813	11
534	14812	11
535	14811	11
536	14810	11
537	14809	11
538	8921	11
539	8922	11
540	8980	11
541	14815	11
542	14655	11
543	14836	11
544	14818	11
545	8917	11
546	8620	11
547	8623	11
548	14819	11
549	8915	11
550	8914	11
551	8635	11
552	8932	11
553	8935	11
554	8597	11
555	8937	11
556	8656	11
557	8940	11
558	14843	11
559	14846	11
560	14845	11
561	14844	11
562	14910	11
563	14911	11
564	14912	11
565	14913	11
566	14924	11
567	14925	11
568	14930	11
569	14917	11
570	14918	11
571	14920	11
572	14921	11
573	14916	11
574	14914	11
575	14915	11
576	14933	11
577	14959	7
578	14958	8
579	14957	3
580	14956	13
581	14955	9
582	14954	9
583	14953	9
584	14951	9
586	14949	10
587	14948	10
588	14947	10
589	14946	9
590	14945	8
592	14943	7
594	14941	3
595	14940	4
596	14939	4
597	14938	4
598	14937	1
599	14965	9
601	14963	9
602	14962	9
603	14961	9
604	14960	8
605	14966	9
606	14967	8
608	14969	8
609	14970	8
610	14971	8
611	14919	11
612	14972	13
613	14973	13
614	14974	11
615	14977	11
616	14976	11
617	14975	11
618	14978	9
619	14979	9
620	14983	11
621	14982	11
622	14981	11
623	14980	11
624	14984	9
625	14985	11
626	14986	11
627	14988	9
628	14987	9
629	14989	9
630	10252	11
631	10249	11
632	10250	11
633	14991	11
634	14992	9
635	14993	8
636	13999	11
637	8284	11
638	8348	11
639	9020	11
640	10865	11
641	9442	11
642	10494	11
643	10331	11
644	9788	11
645	15011	9
646	10864	11
647	8292	11
648	14000	11
649	15226	11
650	15227	11
651	15251	11
652	15252	11
653	15253	11
654	15254	11
655	15255	11
657	15260	11
658	15262	11
659	15267	11
660	15275	11
661	15279	11
662	15280	8
663	15380	11
664	15384	11
665	15385	11
666	15386	11
667	15387	11
668	15389	11
669	15388	11
670	15390	8
671	15391	11
672	15394	11
673	15395	11
674	15393	11
675	15396	11
676	15399	11
677	15400	11
678	15406	11
679	15409	11
680	15411	11
681	15410	11
682	15408	11
683	15417	11
684	15418	11
685	15433	11
686	15434	11
687	15445	10
688	15446	11
690	15485	11
691	15484	11
692	15483	11
693	15482	11
694	15481	11
695	15480	11
696	15479	11
697	15478	11
698	15463	11
699	15462	11
700	15461	11
701	15460	11
702	15459	11
703	15458	11
704	15457	11
705	15456	6
706	15455	6
707	15454	11
708	15453	6
709	15452	3
710	15495	11
711	8780	11
712	9747	11
713	8779	11
715	15506	11
716	15507	11
717	15511	11
718	15508	11
719	15510	11
720	15509	11
721	15518	11
722	15519	11
723	15520	11
724	15521	11
725	15522	11
726	15523	11
727	15529	11
728	15528	11
729	14799	14
730	15546	11
731	15549	11
732	8370	11
733	15551	11
734	8957	11
735	15552	11
736	15555	11
737	15556	11
738	10420	11
739	10422	11
740	10419	11
741	10421	11
742	10816	11
743	15557	1
744	15558	11
745	15559	11
746	15560	11
747	16513	20
748	16511	30
2060	16514	0
2061	16545	11
2062	16542	11
