KlasseAttribuutID	IMBORGUID	Klasse	Multipliciteit	Attribuut	Informatiemodel	Eenheid	Enumeratietype	OAGBD
2780	b9419aad-20b9-4a21-9fb5-5a425665a780	216	15167	870	3	14505	null	O
2781	34d7ed24-3efb-4610-80d5-dfc62250ec9e	216	15167	871	3	14505	null	O
2798	1422ae2a-2433-4726-b61b-2aa251a14573	216	15167	500	3	14488	null	O
2799	e83c4f9c-5165-4a39-b720-0d78bc59a032	216	15167	499	3	14488	null	O
2800	a5067fbe-2c94-4e09-b4e1-8ad79b2d3a73	216	15167	501	3	14490	null	O
2801	7ad9fafd-6eb1-4853-9b23-2e8f0e7003d4	216	15167	498	3	14497	null	B
2803	57345c69-f9b0-4c13-bf45-7b678c00ba91	216	15167	497	3	14497	null	B
2804	c78750b5-e2bc-4015-a5d4-49a8d39e7e2f	216	15167	376	3	null	15695	O
2805	a56c0012-19e2-49cf-b001-cca688fee996	216	15167	375	3	null	15696	O
2811	80d1b1fa-6b5a-49e2-930a-0377f5625560	10419	15167	878	3	null	15697	O
2825	ee9b731b-d76e-4e13-acee-f2756a58721a	10420	15167	498	3	14497	null	B
2827	33d408aa-2bec-4bd6-bd79-2fb7341be9ac	10420	15167	497	3	14497	null	B
2828	05f9f5b7-67cd-4c5c-949d-841f7480e73d	10420	15167	467	3	14498	null	O
2834	dcb2e96a-186c-4b66-87d2-adef4dd60200	133	15167	375	3	null	15698	O
2835	48448e72-3477-4d88-aefd-fb572ad1957f	63	15167	375	4	null	15699	O
2836	a7906a09-0592-4cb3-906e-9ac256a426fe	63	15167	467	3	14498	null	O
2839	b92f5529-11fd-44f7-a91d-558f658302a0	1	15167	375	4	null	15700	O
2848	f56efccc-1633-40b5-bf36-1916d6b992a3	187	15167	973	4	null	15702	O
2853	0c59d9e3-cb98-43de-8b96-19deac7a4853	15	15167	971	4	null	15703	B
2855	36e19e43-8773-4553-acbe-153cfb8b7e9e	265	15167	969	4	14517	null	O
2856	21c39ff6-a9b8-48b6-b082-aa05c06a0505	141	15167	968	4	null	null	B
2859	1a831753-4c2d-4b69-8dda-598576fd3718	187	15167	966	4	14489	null	O
2860	053aa7e2-baaf-4a48-a88b-3c83849f69df	141	15167	965	4	14494	null	O
2861	5c43e7bf-849a-461d-872f-9f04b30699f0	141	15167	653	4	14494	null	O
2862	e0f2521f-27fb-4850-adcd-97d379a9d345	15	15167	964	4	null	15705	O
2870	23fa0267-230c-4759-97e3-fe57074cd2b5	141	15167	961	4	null	null	O
2875	19c89623-9d3e-4570-8a67-eb788adb6ca7	291	15167	958	4	null	15707	B
