KlasseAttribuutID	IMBORGUID	Klasse	Multipliciteit	Attribuut	Informatiemodel	Enumeratietype	OAGBD	Wijzigingsdatum	Toelichting	Eenheid
2496	fb5a106e-edf8-4172-b1b5-4bbf4db366d2	297	15167	1019	3	null	B	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2503	9caf94c3-4f4e-42d9-99a9-49a2e2704dfc	1087	15167	599	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23032
2504	7a61b0bf-c959-4547-9a7a-a29a96790d40	73	15167	1010	3	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2516	854b9497-bd22-4318-87e4-7fb6a5bf59a0	73	15167	431	3	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2517	1c0025a3-6ba6-45d3-a3b0-5b7bf6e870bc	73	15167	1053	3	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2521	3e368180-b82d-41ca-9354-8d98255a2a69	73	15167	832	3	15637	B	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2530	5591c836-7abb-4b19-baca-456b3e5fcb20	200	15167	598	4	23606	O	Sun Feb 09 2025 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2542	d0dd7eb1-1466-43ca-a240-b5dcb7dff5e3	1082	15167	599	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23032
2551	d2f703d7-4f80-4cfb-8c40-111c4e6775d1	120	15167	996	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2554	5b68cabc-9552-456e-aba1-8a8f19b079ca	102	15167	994	4	15645	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2558	ffea3bfc-7e76-4637-8702-df73292a4edb	10439	15167	528	3	15647	O	Thu Sep 26 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2573	7993f8af-798e-4586-81e5-6585c632767f	141	15167	984	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23046
2579	a185a2e8-e983-4e34-ab8e-81e1fddf1999	9	15167	375	4	15651	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2604	d07dad99-866d-412e-a1f1-a53429bfc76e	243	15167	375	4	15656	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2618	6715a6e0-a0df-42e4-9566-d9e2006acf6a	175	15167	375	4	15661	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2637	e6038213-6645-4e91-bcfb-662ec0b6dabc	106	15167	375	4	15666	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2639	92237110-953b-4da7-b2d9-1516c31480d9	69	15167	375	4	15667	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2648	d3110bdf-f64b-4793-bbd6-04df34244b4c	25	15167	375	4	15669	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2650	9faf027b-ffa0-456c-9126-71e38b5cf86c	5	15167	653	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23035
2666	7d4dfb11-58db-4428-8feb-65e5b0f71808	1087	15167	574	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23038
2678	b8ae34a9-dd73-4aae-a6ed-99cf9bbb8f78	14992	15167	464	4	15670	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2680	ecd2a17f-4928-44a7-a60e-acc29d4f4d65	14446	15167	454	6	null	B	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2681	b70b07f2-f70f-442f-983c-7847e3a18eda	14992	15167	492	4	15673	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2683	7b38f61b-8d12-43ba-91d4-351077c9d33a	14992	15167	491	4	16649	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
