refDomeinwaardeID	refDomeinwaardeGUID	refInformatiemodel	refAttribuut	refDomeinwaarde	refBovenliggendeWaarde	URI	Definitie	Toelichting	Wijzigingsdatum
475	207f1b2a-45b8-4ca1-ab52-8c1930edd6e3	5	22	veer	FunctioneelGebied	null	Plaats om met een veerpont het water over te steken.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
476	673ea76d-b610-48ba-9a1c-2c1183b57f00	5	22	vegetatiedak	Vegetatieobject	null	Vegetatie die is aangelegd op het platte dak van een gebouw.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
477	f5e237dc-72f6-4fc0-ae1f-4d615d248eba	5	22	veiligheidsvoorziening	Straatmeubilair	null	Voorziening ter bevordering van de veiligheid van personen in de openbare ruimte. Het gaat hier om zelfstandige objecten en niet om onderdelen van objecten.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
478	fcbfeb35-60cd-4916-887c-0f8cb0d8cfb5	5	22	veldbelijning	Weginrichtingselement	null	Belijning van een sportveld.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
479	29b616a0-eb16-4bd7-a0f1-046bb65601ce	5	29	verbindingsweg	Wegdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
480	2d87f9c9-7a58-4e52-8347-dfa8837f7ca2	5	20	verbindingsweg - afrit	Wegdeel	null	Een afrit is een type verbindingsweg met beperkte lengte waarop bestuurders snelheid kunnen minderen om de	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
481	0823e653-3be5-4d82-8690-a0e9c1937996	5	20	verbindingsweg - toerit	Wegdeel	null	Een toerit is een type verbindingsweg; Verbindingsweg heeft 2 typen: Afrit en Toerit	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
482	b502ab39-d28a-476d-ba30-bafa09b4f252	5	31	verblindingswering	Weginrichtingselement	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
483	39da23f2-40f2-4575-ae7b-4c3b72ed0aca	5	31	verkeersbord	Bord	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
484	1cacade9-7e89-4f9b-b60a-cbe0f0856bb6	5	31	verkeersbordpaal	Paal	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
485	1836d0d1-565d-40b0-a71f-6ffb3da09c17	5	22	verkeersdrempel	Weginrichtingselement	null	Verhoging in de rijbaan, bedoeld om het gemotoriseerde verkeer met een lage(re) snelheid te laten rijden. Toelichting: Sinds ongeveer 2000 beschikt de Nederlandse wegenbouw over technische mogelijkheden om drempels uit te voeren in een doorlopende asfaltv	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
486	3efda8e7-257f-4ec0-9479-5b41517b5914	5	29	verkeersdrempel	Wegdeel	null	Verhoging in de rijbaan, bedoeld om het gemotoriseerde verkeer met een lage(re) snelheid te laten rijden. Toelichting: Sinds ongeveer 2000 beschikt de Nederlandse wegenbouw over technische mogelijkheden om drempels uit te voeren in een doorlopende asfaltv	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
487	39214a05-2e30-4cfc-a363-e7d6695d0158	5	20	verkeersdruppel	OndersteunendWegdeel	null	Een verkeersdruppel is een verkeersmaatregel die een rijbaan kortstondig splitst.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
488	af1959f8-3c2b-47de-a42b-b37db6144a0c	5	22	verkeerseiland	FunctioneelGebied	null	Weggedeelte van beperkte omvang, uitgevoerd als een verhoging of wegmarkering, dat wordt omsloten door rijbanen of rijstroken en als doel heeft verkeersstromen te scheiden. 	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
489	7cfe841c-6a9d-4f93-af48-b811c2d02a4e	5	13	verkeerseiland	OndersteunendWegdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
490	87ed1090-6a37-48c7-8d8a-fb42e8e28b03	5	22	verkeerslantaarn	Straatmeubilair	null	Behuizing voor één of meer lichtbronnen in het verkeer inclusief alle elektronische componenten voor het juist richten en het beschermen van de lamp.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
491	66ff66f3-1e0d-4d5b-b127-4807e6164e2a	5	31	verkeersregelinstallatiekast	Kast	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
492	8cacfa0f-f021-4f77-9182-ab817a229d78	5	31	verkeersregelinstallatiepaal	Paal	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
493	432f97a3-bba3-4aac-a62a-574b16116014	5	22	verkeersspiegel	Straatmeubilair	null	Een verkeersspiegel is een bolle spiegel die gebruikt wordt om onoverzichtelijke verkeerssituaties te verduidelijken.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
494	2f41c745-49da-477e-80c4-e8fe207a857e	5	22	verkeersteller	Kast	null	Boven- of ondergronds object met een permanent karakter geschikt voor obstakelvrije behuizing van elektra- of regelinstallaties of wateraansluitingen voor toepassingen buiten inclusief sloten en deuren.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
495	7f05441a-b214-4e43-9bce-66ec85a4bf46	5	31	verklikker transportleiding	Bord	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
496	8cbd1212-c49c-414e-997d-b957ba7fd4a2	5	20	verplicht fiets-/bromfietspad	Wegdeel	null	Een pad dat "...zowel voor fietsers als bromfietsers verplicht" is.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
497	428dad7e-25ce-4a72-bc86-5dbb893753b4	5	20	verplicht fietspad	Wegdeel	null	Een verplicht fietspad wordt aangegeven met bord G11. Fietsers en snorfietsers moeten hier gebruik van maken.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
498	6201ddc6-0538-4e1c-bd2b-e86cfef6a17a	5	18	Vervallen	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
499	b4db0190-2840-4e7b-a132-0e4d008d41ba	5	22	verzamelplaats	FunctioneelGebied	null	Terrein of plaats bestemd voor de opslag of het verzamelen van goederen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
500	5aa39f9c-a59b-4765-bfb7-72473aa7abe4	5	22	verzinkbare piramide	Straatmeubilair	null	Een in het wegdek verzinkbaar object in de vorm van een piramide en voorzien van een waarschuwingsbord.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
501	99d3afae-3516-4ce0-9e16-44c5acc181bb	5	31	verzorgingsplaats	FunctioneelGebied	null	Langs de weg gelegen parkeergelegenheid, met inbegrip van de daarbij behorende verharde en onverharde banen en een of meer voorzieningen ten behoeve van reizigers en/of voertuigen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
502	8a046ae9-4bb0-4aa0-8766-8da6700cc24e	5	1	viaduct	Overbruggingsdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
503	7388b176-f95b-4518-aab7-afa16f842756	5	31	vispassage	Kunstwerkdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
504	f62f4fb4-c8bd-4142-9acf-659cdebe1250	5	22	vitrinekast	Straatmeubilair	null	Uitstalkast waarvan de inhoud van meerdere kanten kan worden bekeken.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
505	d2b6b22a-c367-40af-9c69-1883300eda17	5	31	vlaggenmast	Paal	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
506	29337423-a166-483e-b828-af402a1a5c60	5	22	vlonder	Kunstwerkdeel	null	Smalle houten brug of een kleine aanlegsteiger, vaak niet meer dan 1 of 2 planken breed; voor langzaam verkeer.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
507	a894776e-5a58-4278-8df6-b75fa4eb8db2	5	31	voedersilo	OverigBouwwerk	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
508	eea44b85-2ddf-41d8-9236-7c92a25e2e6c	5	22	voegovergang	Weginrichtingselement	null	Constructie die een continu (weg)oppervlak vormt tussen aangrenzende hoofdconstructiedelen (bijv. brugdelen/landhoofden) en die de continuïteit van de rijbaan garandeert. Voeg (tussenstuk) in een brugdek, viaduct of weg met als doel een begaanbare overgan	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
509	eaf35021-46db-4845-899a-51500af8d344	5	13	voetgangersgebied	Wegdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
510	cd5bf8b4-9838-43d3-b7bd-a25efa577b1f	5	22	voetpad	FunctioneelGebied	null	Voor voetgangers bestemde deel van een weg of alleen voor voetgangers toegankelijke weg. In de bebouwde kom is het voetpad vaak enigszins verhoogd (trottoir). Een voetpad wordt aangegeven met bord G07.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
511	2470dae2-5203-4f6f-8fb4-132a8f44b70e	5	13	voetpad	Wegdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
512	a20328df-fc3e-4bd7-839c-319111508af5	5	13	voetpad op trap	Wegdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
513	a0c04d91-7a13-468e-8934-47ed50390209	5	31	voorde	Kunstwerkdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
514	f385b61c-2888-4d8e-860a-4b576074d0fa	5	22	voorzieningenpaal	Paal	null	Paal voorzien van aansluitingen voor elektra, telefoon en water.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
515	4eb211d5-88b3-40e9-8246-da9b0b846fd9	5	31	vuilvang	Waterinrichtingselement	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
516	807621f0-de1b-4ac2-a6ad-c594ee2583c6	5	22	vuilwaterinnamestation	Installatie	null	Voorziening voor afgifte van opgeslagen toiletwater en overig huishoudelijk afvalwater in een vuilwatertank, met uitpompstation.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
517	53607481-d44f-4773-b61c-8f3bef6d952e	5	22	vulpunt	Installatie	null	Afsluitbaar installatiedeel dat dient als toegang voor vloeistof in een reservoir of installatie.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
518	ce72398f-b7a7-4ca2-81ba-c50cc33ea903	5	31	waarschuwingshek	Bord	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
519	963205cd-8490-4796-a2a5-6901fbd28196	5	22	wachtplaatsvoorziening	Waterinrichtingselement	null	Ligplaats die de mogelijkheid biedt om gedurende korte tijd af te meren in afwachting van een schutting, brugopening, laden of lossen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
520	ae0fda9f-6a4a-4a47-b67d-0eb794e6d67b	5	22	wachttijdvoorspeller	Installatie	null	Signaalgever die aangeeft hoe lang een verkeersdeelnemer moet wachten.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
521	b0ea1be5-956c-47a0-9652-bb7114f89a11	5	31	walbescherming	Scheiding	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
522	aa14d722-247f-4d38-9898-dd87bbb64443	5	22	wandarm	Straatmeubilair	null	Systeem of arm bevestigd aan een muur met als doel het dragen van gewicht.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
523	7e47c3b8-91f6-40dd-a74b-613e7e6fd3dc	5	22	waterbeheergebied	FunctioneelGebied	null	Het geheel van virtuele en fysieke (aanwijsbare) opdelingen en indelingen van het aardoppervlak ten behoeve van de stedelijke waterbeheersing.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
524	4c6121dd-1a88-448e-a888-3c94cc77f60d	5	31	waterbergingsgebied	FunctioneelGebied	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
525	996d13ad-a02c-46ed-a922-cd3689574f40	5	22	waterkast	Kast	null	Boven- of ondergronds object met een permanent karakter geschikt voor obstakelvrije behuizing van elektra- of regelinstallaties of wateraansluitingen voor toepassingen buiten inclusief sloten en deuren.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
526	e98bad14-199e-4471-9515-d58b30e9e60f	5	22	waterleiding	Leiding	null	Een waterleiding is een leiding waardoor water wordt getransporteerd van A naar B. Met een waterleiding wordt meestal de leiding voor het transport van drinkwater bedoeld.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
527	75def3da-b5cd-4ce6-97ae-081f944d2583	5	31	waterleidingput	Put	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
528	26c3fcbd-ee10-450b-87a8-d09df27f8b54	5	19	waterloop	Waterdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
529	7f86ce89-604d-42a2-99a6-2382411cd86d	5	31	beek	waterloop	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
530	4ccd6fda-8c77-4e15-a230-eb7084ad7f9f	5	31	bron	waterloop	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
531	5b6f6b50-ae66-4a99-94fb-e2b426dc08f8	5	31	gracht	waterloop	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
532	f3fa9f6f-5a1d-4bd4-adfa-1fcd764d3042	5	31	kanaal	waterloop	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
533	4da59064-0dd8-40f0-9880-ab73b6eba71a	5	31	rivier	waterloop	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
534	7dfb1abb-e472-49ff-a160-2b354bf367d7	5	31	sloot	waterloop	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
535	56152db2-98a9-419f-bfb8-43b2e4ede8a1	5	22	waterloopas	Waterinrichtingselement	null	Hulpobject voor het berekenen van de lengte van een waterloop (sloot).	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
536	b6ae73c4-c014-491e-b1a6-6b671b7d547b	5	22	watermeterput	Put	null	Een watermeterput buiten zorgt ervoor dat de waterleiding, watermeter en afsluiters veilig en vorstvrij worden behuisd.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
537	5d1ce9b5-8ec3-4af8-8825-f6a9044d3c8a	5	31	waterschap	RegistratiefGebied	null	Regionaal gebied onder het bestuur van een overheidsinstantie (waterschap) die tot taak heeft de waterhuishouding in dit gebied te regelen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
538	fbc7403c-f414-4dd0-b91e-d1acb19a7328	5	31	waterstandmeter	Sensor	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
539	0ffbf821-8f26-4c1a-aa94-75e283fee2da	5	22	watertrap	Waterinrichtingselement	null	Trapvormige constructie in een waterloop, bedoeld als sierelement om het water over naar beneden te laten stromen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
540	39360f65-0745-4657-8398-85aa62e9f5df	5	22	waterval	Kunstwerkdeel	null	Kunstmatig aangelegde waterval waarbij water naar een lagergelegen niveau walt.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
541	0e6cbcc5-3f95-4c09-8b9e-74c07ea49e37	5	19	watervlakte	Waterdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
542	965b1aff-2525-4b22-8419-4bba9ce02c5d	5	31	haven	watervlakte	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
543	00562205-ba3c-43f9-a572-baacf81c4f7a	5	31	meer, plas, ven, vijver	watervlakte	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
544	9b881b06-3966-4a27-8f14-f2e5c7985c0b	5	22	poel	watervlakte	null	Een massa stilstaand landoppervlaktewater. (bron: definities.geostandaarden.nl) Een omsloten stilstaand en ondiep oppervlaktewater.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
545	082f3a65-3d54-448b-b578-e6c962d6475d	5	22	weegpunt	Sensor	null	Een weegpunt is een locatie waar (al dan niet geautomatiseerd) het gewicht van een wegvoertuig wordt gemeten.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
546	fbe2e33e-205d-49f5-8c14-44cb6d60fcc7	5	31	weerstation	Sensor	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
547	66c85151-5959-432c-8fb1-fd48317668a1	5	22	weg	FunctioneelGebied	null	Gebaand gedeelte van het terrein ten behoeve van het verkeer te land, in lengte- en dwarsrichting begrensd door weggrenzen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
548	0b18cc69-1232-40fc-a428-20ec1a04d6bf	5	22	wegas	Weginrichtingselement	null	De hartlijn van een weg.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
549	f80f7b31-d9ac-41ad-9d48-b6019871e5bc	5	19	wegberm	FunctioneelGebied	null	Gedeelte van een weg tussen verkeersbanen of tussen een buitenste verkeersbaan en de naastgelegen weggrens. 	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
550	c7a35425-4b62-48a1-aaed-9855d0b19a8c	5	31	wegmarkering	Weginrichtingselement	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
551	1d25d5db-3c22-4af8-bacc-7ebf449e29f9	5	22	wegvak	FunctioneelGebied	null	Gedeelte van een weg, fiets- of voetpad dat in lengterichting wordt begrensd.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
552	d50a327b-2412-4047-bc1c-d64a78759d5f	5	31	wegwijzer	Bord	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
553	6cb4e550-9268-4c9f-a836-361f15e41e4f	5	22	wifi-antenne	Sensor	null	Antenne om draadloos internet mogelijk te maken.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
554	79915db9-3286-4cb7-96c1-0307fe950688	5	31	wijk	RegistratiefGebied	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
555	55980690-b720-4cef-a0e7-83b2b1706879	5	31	wildrooster	Weginrichtingselement	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
556	93f7314b-62f4-4e43-beb3-3e11aa6f0b23	5	22	wildsignalering	Sensor	null	Systeem waarmee wild door middel van afzettingen naar één plek wordt gedwongen waar het kan oversteken. Daar wordt het met een infraroodvlak en/of laserlijn gedetecteerd, waarna een matrixbord oplicht. Daarop staat een waarschuwingsteken voor overstekend 	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
557	465a3b14-f45a-4450-a5c2-1b58a0df8adb	5	31	windmeter	Sensor	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
558	ee21e697-7a04-49dd-b6fb-9528e86569c1	5	22	windmolen	Kunstwerkdeel	null	Windmolens zijn molens die de bewegingsenergie van de lucht (wind) omzetten in rotatie-energie van de wieken, die dan nuttig kan worden gebruikt, bijvoorbeeld voor het opwekken van elektriciteit, het malen van graan of het verplaatsen van water.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
559	a52ac791-5bed-419c-8cd9-481c26a2f065	5	19	windturbine	OverigBouwwerk	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
560	3895bdfa-209a-4f73-a9fc-1e35dc56f4e8	5	22	windzak	Straatmeubilair	null	Een windzak is een eenvoudig instrument dat een indicatie van windrichting en -snelheid geeft.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
561	8f9f7131-61f4-4576-8720-7e4eef9339d4	5	20	winkelerf	Wegdeel	null	Een gebied met winkels waar alleen voetgangers mogen komen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
562	8de5805c-8274-478c-9dab-9e1929aee896	5	13	woonerf	Wegdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
563	2ce3095b-b44d-4f56-8926-2cc2f4f137c8	5	20	woonerfparkeervak	Wegdeel	null	Parkeervak in een woonerf, kenbaar aan een ingestrate P of aangeduid met een bord P.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
564	0412c69d-7c0f-4d16-b976-7865f3dab196	5	22	woonplaats	FunctioneelGebied	null	Begrenzing van de woonplaats.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
565	6ca96515-50d2-4d85-8ada-919f9093d108	5	20	woonstraat	Wegdeel	null	Een straat in een woonwijk.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
566	ce54a299-9111-4e30-bbb6-7bd533546afa	5	22	wrijfgording	Waterinrichtingselement	null	Horizontale balk bevestigd aan bijvoorbeeld het steunpunt van een brug, de wand en het hoofd van een sluis ter bescherming van de constructie tegen aanvaringen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
567	bec299b7-d0c7-40cf-a471-0ae01dd466a3	5	15	zand	OnbegroeidTerreindeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
568	3e85d785-376c-4b27-baf9-d68ba127e888	5	6	zand	onverhard	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
569	e8bb270c-5433-4ae5-a8b9-be41e4575d7e	5	31	zand- / zoutbak	Bak	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
570	65248533-1791-4ab0-856d-4aae3c62ae0d	5	22	zandkist	Bak	null	Een bak in de openbare ruimte bedoeld voor het opslaan van materialen, bijvoorbeeld zand of zout.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
571	73c25cbb-ea4a-4cb8-a092-8726e771da66	5	6	zandverstuiving	zand	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
572	02b901b2-cd69-4fb5-9db2-1183034b7b8e	5	19	zee	Waterdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
573	c7f72531-9a77-48cb-bb6f-41c1adf3dc5b	5	31	zendmast	Mast	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
574	2825464e-c6f7-43c7-bfe0-2c070e0ec921	5	22	zichtmeter	Sensor	null	Instrument dat de lichtdoorlaatbaarheid van de lucht meet als indicatie voor het zicht van verkeersgebruikers, zoals bijvoorbeeld slechte lichtdoorlaatbaarheid als gevolg van veel kleine waterdruppels bij mist.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
575	7c06b2ee-baf3-4f88-8647-a1083b75ffdb	5	22	zitelement	Straatmeubilair	null	Zit- of steunplaats voor één of meerdere personen, bedoeld voor openbaar gebruik en geplaatst in de openbare ruimte (vnl. in parken, plantsoenen, bossen en langs wegen).	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
576	6b534597-35b9-4343-8d58-cfe233470f5d	5	22	verkeerszone	FunctioneelGebied	null	Verkeerskundige afbakening van een gebied.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
577	c62c4848-07b0-484a-9747-1a4c02c3c80c	5	31	zonnepaneel	Installatie	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
578	be73cf0d-7a85-42a0-8bfb-2c2113ab3ae7	5	22	zoutbak	Bak	null	Een bak in de openbare ruimte bedoeld voor het opslaan van materialen, bijvoorbeeld zand of zout.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
579	a826bb13-2df9-4a65-936a-23200a6b2a8e	5	22	zoutwaterleiding	Leiding	null	Leiding voor het transport van zoutwater.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
580	2345952f-e1dd-4186-a058-11cf72a3645c	5	22	zuiveringsreservoir	OverigBouwwerk	null	Een reservoir voor het (tijdelijk) bergen van water.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
581	6da13c89-d13d-4857-8603-a05478e566a6	5	21	zwarte grond	onverhard	null	Onverhard waarvan het oppervlak bestaat uit zwarte grond.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
582	955d2cc5-5eda-48ab-96a2-21c8badc4a91	5	22	zweepmast	Paal	null	Geheel van één ondersteuningsconstructie die verbonden is met één ligger bedoeld voor het aanbrengen van verkeersaanduidingen, armaturen en verkeerslantaarns.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
976	dad5a04e-5eb2-4319-8e7e-0e524e2127a0	5	22	afsluiter	Installatie	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
977	92408d8c-9057-48cb-ac08-815dae4288f1	5	20	molgoot	Weginrichtingselement	null	Een molgoot is een verdiept gedeelte aan de rand van de weg ten behoeve van de afwatering.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
978	3beeb175-e06c-48ea-8d45-835c2fb9c241	5	20	sportondergrond	OndersteunendWegdeel	null	De ondergrond waarop een sporttoestel geplaatst is of duurzaam mee verbonden is. Dit kan een Verhardingsobject, een Groenobject of een Waterobject zijn. Bij deze ondergrond zijn in veel gevallen sprake van valdempende eigenschappen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
979	e13835c6-e29f-421b-aa3c-62c4a60629eb	5	20	speelondergrond	OndersteunendWegdeel	null	De ondergrond waarop een speeltoestel geplaatst is of duurzaam mee verbonden is. Dit kan een Verhardingsobject, een Groenobject of een Waterobject zijn. Bij deze ondergrond zijn in veel gevallen sprake van valdempende eigenschappen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
980	61c9bc44-0223-4aac-904c-280e57cfe126	5	20	instroomvoorziening	Kunstwerkdeel	null	Voorziening voor het afvoeren van water naar een bepaald punt of een bepaald object.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
981	9056f157-7aeb-49cd-8bdd-e0e574397efc	5	20	uitstroomvoorziening	Kunstwerkdeel	null	Voorziening voor het afvoeren van water vanuit een object naar een bepaald punt.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
982	8953903b-05a7-4bf2-8d1c-5893f0d264ca	5	21	broekbos	loofbos	null	Bos waarvan de vegetatie sterk wordt bepaald door de (hoge) stand van het (grond)water, meestal is er sprake van kwel.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
