refDomeinwaardeID	refDomeinwaardeGUID	refInformatiemodel	refAttribuut	refDomeinwaarde	refBovenliggendeWaarde	URI	Definitie	Toelichting	Wijzigingsdatum
98	5f1b1c8c-fdb4-4d70-95e9-40eb41311862	5	22	dam	Kunstwerkdeel	null	Dwars op het water opgeworpen waterbouwkundige constructie om water te keren, te beheersen, te leiden of te verdelen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
99	a8a7b467-015d-4465-9fad-0f48216cf24b	5	31	damwand	Scheiding	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
100	c1296024-479c-4227-8e44-a46b23e54646	5	31	damwand (OS)	OverigeScheiding	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
101	d7deeaf3-144d-4df7-b50c-610016c8a61c	5	31	debietmeter	Sensor	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
102	9742d899-8092-4458-b47b-8a605d7940bf	5	22	deelsportcomplex	FunctioneelGebied	null	Onderdeel van een en verdere afbakening van een sportterrein of een sportcomplex.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
103	28c3ff5b-5a18-452f-9b54-995a44cf5f1d	5	11	dek	Overbruggingsdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
104	d09ec2ca-80ca-43aa-933a-a67da690da44	5	31	detectielus	Sensor	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
105	4d86f473-73b7-4ab0-80cd-e81eb5e5fa85	5	22	detector	Sensor	null	Meetinstrument waarmee een voorwerp of een bepaalde toestand in een bepaalde omgeving kan worden aangetoond.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
106	d1f6cc0b-0872-452f-9808-e9ce26269fbe	5	31	dijkpaal	Paal	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
107	ed33373e-5785-4678-bc6e-902dae8f2280	5	22	dispenser	Paal	null	Een voorziening voor het verstrekken van bepaalde hulpmiddelen (bijvoorbeeld hondenpoepzakjes)	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
108	7803f156-a0ed-4c2d-87fe-ebba56d6d531	5	22	doorvoergat	Put	null	Gat voor de afwatering.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
109	b21f4d6c-0872-4fd5-8d41-23e55e0a3368	5	22	douche	Straatmeubilair	null	Waterinstallatie op een openbaar terrein, vaak in de buurt van stranden en zwemgelegenheden.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
110	345acbb0-6eee-4672-ba00-7b8534c7ca8a	5	31	draadraster	Scheiding	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
111	6a737c86-7ee8-4e9e-9742-f8cf687144fb	5	31	draadraster (OS)	OverigeScheiding	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
112	9d443f95-96a0-4bb7-a461-67f0833143b8	5	22	drain	Leiding	null	Een leiding met doorlatende wanden bestemd voor het op peil houden van het grondwater. Kan ook beschouwd worden als een soort drainagevoorziening. 	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
113	f8f7b7fd-3c42-4289-8c9a-cec074da2936	5	31	drainageput	Put	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
114	3643afc1-c87f-4441-8b4e-dd83b2056ff7	5	22	drijflijn	Waterinrichtingselement	null	Een afscheiding voor zwemmers.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
116	f4b78ad4-70f1-410f-b504-7438bba969e5	5	22	drijvende oever	VegetatieObject	null	Drijvende constructie met beplanting langs oevers waar geen natuurlijke oever mogelijk is (stenen of stalen wanden).	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
117	fd4e4c2b-fa79-420a-9307-1616500c6e92	5	31	drinkbak	Bak	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
118	9018a896-86bd-4098-945e-f150a93d0ff4	5	22	drinkwaterinlaat	Kunstwerkdeel	null	Een drinkwaterinlaat is een locatie om drinkwater in een systeem in te kunnen laten.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
119	1d0d1ee5-498e-4199-8292-4c362ab978ab	5	22	drinkwaterpunt	Straatmeubilair	null	Voorziening voor het tappen of drinken van leidingwater.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
120	a94aea6a-edc3-4684-b846-69ca2644c2df	5	22	drukknop	Installatie	null	Onderdeel van detectiesysteem om verkeersdeelnemers veilig te laten oversteken of om aan te geven dat een verkeersdeelnemer gearriveerd is.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
121	dabbd9f5-43a4-4fe3-8857-4b1fc087ab9c	5	31	drukknoppaal	Paal	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
122	1761eaf3-2a91-434e-9367-8906ce8f7c98	5	22	drukmeter	Sensor	null	Een instrument dat de druk bij een pomp meet.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
123	0cddbb55-367b-42fe-95ec-5f91eb32b36e	5	22	dugout	OverigBouwwerk	null	Overdekte ruimte aan de zijkant van een sportveld waar de trainer, (reserve)spelers en verzorgers kunnen zitten tijdens een wedstrijd.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
124	ae9b3602-673d-48f3-a194-e217e7b820e8	5	31	duiker	Kunstwerkdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
125	6ee7758d-7642-406b-9752-0bebf62e2343	5	15	duin	BegroeidTerreindeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
126	eefc40a9-3138-4a32-9115-ccc80477578d	5	6	gesloten duinvegetatie	duin	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
127	3a0f78d6-0f6a-4993-9359-43021726afbc	5	6	open duinvegetatie	duin	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
128	be9181ff-ab41-4418-9c25-7a4e6a2ef9cb	5	20	dynamische busbaan	Wegdeel	null	De kern van het idee 'dynamische busbaan' is, dat de busbaan door het overige verkeer gebruikt kan worden gedurende de tijd dat er geen bussen zijn.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
129	5d9c6328-e576-4a8a-b96f-e9e577aafa14	5	31	dynamische snelheidsindicator	Bord	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
130	5593bbe4-cf39-4134-8ad2-76552891d60d	5	1	ecoduct	Overbruggingsdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
131	1f045a3d-9934-464d-82c8-f5421fdf6266	5	22	effluentleiding	Leiding	null	Leiding voor het afvoeren van gezuiverd water van de rioolwaterzuiveringsinstallatie.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
132	0b0a8f88-5609-44da-b492-29b70cbdf861	5	31	elektrakast	Kast	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
133	e0171421-6a78-498a-8bb4-4066286bb7ee	5	22	energieaansluiting	Installatie	null	Installatie ten behoeve van de regeling van het transport van elektriciteit, water of gas tijdens evenementen, voor markten of voor andere doeleinden.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
134	250df07a-f4da-4d0a-a6cc-32d7105f7df0	5	15	erf	OnbegroeidTerreindeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
135	c14366a9-2d56-460a-8bd9-9c97d1c5da50	5	22	fauna-inspectieput	Put	null	Put op ondergrondse faunavoorziening met als doel inspectie van de voorziening mogelijk te maken.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
136	496faf4d-071e-4980-a87f-b6c15d235683	5	22	faunameubilair	Straatmeubilair	null	Meubilair ten behoeve van de bescherming van fauna en faunageleiding.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
137	e8499eba-50bb-4058-b67e-11c273739d1b	5	31	faunaraster	Scheiding	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
138	41668b72-5283-4816-9d7b-78e269d0a899	5	31	faunaraster (OS)	Overige scheiding	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
139	fcc33edf-e8c6-47a3-a07c-df2d96d7b48d	5	22	faunaverblijfplaats	Straatmeubilair	null	Voorzieningen die geschikt zijn als verblijfplaats of als nestgelegenheid voor diersoorten te beschermen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
140	2d36dbd4-42b5-4cf0-83ff-6010f6b1e5aa	5	31	faunavoorziening	Kunstwerkdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
141	b826b884-df11-4b2c-ac94-54164844624e	5	31	fietsenkluis	Straatmeubilair	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
142	d6103d5b-7538-4dbe-89a8-1a17ea745a74	5	31	fietsenrek	Straatmeubilair	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
143	250188ca-ea30-4f66-9735-1d22c0ba342c	5	22	fietspad	FunctioneelGebied	null	Weg, verkeersbaan of rijbaan bestemd voor fietsers, snorfietsers en eventueel bromfietsers.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
144	07890440-0c54-4ec3-b1bb-d3feb70fc507	5	13	fietspad	Wegdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
145	766e7c07-b30a-4c9e-be38-52bf2917070b	5	22	fietsparkeervoorziening	Straatmeubilair	null	Een duurzaam verankerd rek in de openbare ruimte voor het stallen van fietsen.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
146	2f2658e0-65c0-4f44-a35d-3cea9d7d2bc5	5	22	fietspomp	Paal	null	Een fietspomp met een aangelaste voetplaat.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
147	6d0d0ecf-80f3-4241-934b-38748e578df8	5	22	filterput	Put	null	Put met een filterconstructie voor het onttrekken van grondwater. Kan ook beschouwd worden als een soort drainagevoorziening.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
148	8bd754e5-9533-423b-9e48-aa9c7e88c872	5	31	flitser	Sensor	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
149	c61a7c0f-36b4-4071-a7a1-6f5af4a4ed6f	5	1	flyover	Overbruggingsdeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
150	82ade1cd-a9e8-4a15-9a59-b8413abb18a4	5	31	fontein	Straatmeubilair	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
151	05519144-030c-4c0f-96e2-b95e6298c6d4	5	15	fruitteelt	BegroeidTerreindeel	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
152	f34e097a-d19c-4801-8e7d-24d1adf1f113	5	6	hoogstam boomgaarden	fruitteelt	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
153	167fc85e-0e9a-45e4-8dec-faa3b356861e	5	6	klein fruit	fruitteelt	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
154	d75b9940-78b5-4159-97e7-de9841d51f83	5	6	laagstam boomgaarden	fruitteelt	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
155	09d8ea8d-7900-4d50-9ee4-004ecf325e16	5	6	wijngaarden	fruitteelt	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
156	0e368cc0-0e6c-4788-8de9-caeb9a63aa58	5	31	functioneel beheer	FunctioneelGebied	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
157	57b151ee-6f12-4206-9ece-bc68a4ddf3d7	5	31	functioneel beheer: hondenuitlaatplaats	FunctioneelGebied	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
158	0a54cc56-0a7a-487f-9dc0-646d63e7ab9b	5	31	gaskast	Kast	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
159	df6cb004-09ef-4f9c-ba10-9ad59fb5488f	5	22	gasleiding	Leiding	null	Een gasleiding is een buis (uit metaal of kunststof) die gebruikt wordt om diverse stoffen in gasvorm te vervoeren.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
160	048aa360-b712-4f65-b1a4-a8d42b09b23c	5	31	gasput	Put	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
161	8b6803b4-ae50-4705-89b3-f32ce106d9b7	5	6	gebakken klinkers	open verharding	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
162	b124d4ad-8916-4a63-89f4-a3cd320a0dcf	5	20	gehandicaptenparkeerplaats	Wegdeel	null	Parkeerplaatsen voorzien van het verkeersbord E6 […] voor motorvoertuigen van alle personen die in het bezit zijn van een bestuurderskaart of voor motorvoertuigen waarmee personen vervoerd worden die in het bezit zijn van een passagierskaart.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
163	14d2c1f0-0c74-4c93-997f-1530349edad4	5	31	geleideconstructie	Weginrichtingselement	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
164	2334a69d-31c0-44f0-bb1c-efe7cea29b0e	5	31	geleidewerk	Waterinrichtingselement	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
