VocabulairID	VocabulairGUID	IMBORGUID	Collectie	Term	KlasseType	Synoniem	Definitie	Toelichting	Wijzigingsdatum	URI
170	fb7754ff-822d-4aa1-94f7-1153c58cae22	068703b2-cc11-4d29-b5d8-a91a263fd92f	2	Ontluchtingsleiding	14796	null	Leiding bestemd voor de afvoer van lucht.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/068703B2-CC11-4D29-B5D8-A91A263FD92F
171	92d391f2-27ee-4b61-af97-3afe6fcac5be	0797b770-5ed2-46cc-9231-034a93f22e31	2	Onttrekkingsput	14796	null	Put met pomp met als doel het onttrekken van grondwater.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/0797B770-5ED2-46CC-9231-034A93F22E31
172	20f19958-6b41-42d7-82b9-7d9efeadd0c8	3374442d-c17c-4066-8812-019e1d85b635	2	Openbare ruimte	14796	null	Een door het bevoegde gemeentelijke orgaan als zodanig aangewezen en van een naam voorziene buitenruimte die binnen één woonplaats is gelegen.	null	Wed May 10 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/3374442D-C17C-4066-8812-019E1D85B635
173	58b88c27-b7fa-4a5d-85be-8819a255b6e7	050205ce-28c9-48c4-a05d-95d0b80138d5	2	Open loods	14796	null	Niet verplaatsbaar licht gebouw met een open gevel, bestemd als berg- of werkplaats of als tijdelijk onderdak voor andere doeleinden.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/050205CE-28C9-48C4-A05D-95D0B80138D5
174	ede77b9f-e570-4aa9-abcb-c61b5e76fcc1	dbe512a7-3819-4831-b2bb-12d6c870e53d	2	Ophangconstructie	14796	null	Buizenframe voor het bevestigen van borden of andere objecten. Het frame zelf wordt aan een ander objecttype bevestigd, bijvoorbeeld aan een viaduct.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/DBE512A7-3819-4831-B2BB-12D6C870E53D
175	eecf7fd7-9a4e-4c1e-ac69-8b57f06d06df	aec3aef0-3613-49b9-b011-adee2e8ce89f	2	Oplaadpaal	14796	null	Een laadpaal (of laadstation) is een fysiek object met één of meer laadpunten.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/AEC3AEF0-3613-49B9-B011-ADEE2E8CE89F
176	a4dc5942-cf9f-4532-a5a3-ea669de312c9	ed34a383-e289-429c-a26f-49ea89411026	2	Opslagbak	14796	null	Een bak in de openbare ruimte bedoeld voor het opslaan van materialen, bijvoorbeeld zand of zout.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/ED34A383-E289-429C-A26F-49EA89411026
177	e49f323b-1291-4a83-ae6c-c43c29e4a30e	67352924-7d4c-4164-a3e1-48eccd82cef9	2	Opslagcontainer	14796	null	Gestandaardiseerde metalen kist voor de opslag van materialen of producten.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/67352924-7D4C-4164-A3E1-48ECCD82CEF9
178	c288b1b1-e07c-4132-9a75-d22327b7d211	27edba14-b463-4444-908b-467a0c5229e1	2	Opslagtank	14796	null	Een tank voor de opslag van vloeistoffen of gassen. Er zijn horizontale  en verticale tanks. Deze tanks zijn vervaardigd uit verschillende materialen zoals metaal, polyester of andere kunststoffen.	null	Wed May 10 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/27EDBA14-B463-4444-908B-467A0C5229E1
179	e57b263e-4d45-4531-90a9-96f9ab0e201f	5f90074c-99a9-4e0d-a022-2164e905e377	2	Opstelplaats	14796	null	Locatie geschikt gemaakt voor bijzondere parkeerbehoeften.	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	https://data.crow.nl/imbor/def/5F90074C-99A9-4E0D-A022-2164E905E377
