DID	D	Informatiemodel	Enumeratie
291	Overgangsstuk	3	VerbindingsstukVerschijningsvorm
292	Overnamepunt	3	RioleringNodeVerschijningsvorm
293	Overnamepunt	3	FysiekObjectTypeAansluitpunt
294	Overnamepunt	3	FysiekObjectTypeAansluitpunt
295	Overnamepunt	3	FysiekObjectTypeAansluitpunt
296	Overstortleiding	3	VrijvervalRioolleidingVerschijningsvorm
297	Paalfundering	3	FunderingVerschijningsvorm
298	Paaljuk	3	FunderingVerschijningsvorm
299	Peilbuis met schutkoker	3	PeilbuisVerschijningsvorm
300	Peilbuis onder straatpot	3	PeilbuisVerschijningsvorm
301	Peilbuisdeksel	3	DekselVerschijningsvorm
302	Perceelaansluiting	3	RioolaansluitingVerschijningsvorm
303	Perceelaansluitpunt	3	FysiekObjectTypeAansluitpunt
304	Perceelaansluitpunt	3	FysiekObjectTypeAansluitpunt
305	Perceelaansluitpunt	3	FysiekObjectTypeAansluitpunt
306	Perceelaansluitpunt	3	RioleringNodeVerschijningsvorm
307	Persleiding	3	MechanischeTransportleidingVerschijningsvorm
308	Persleidingsysteem	3	TransportstelselVerschijningsvorm
309	Persluchtpomp	3	PompVerschijningsvorm
310	Personenauto	4	DuikerModaliteit
311	PLC	3	ElektronischComponentVerschijningsvorm
312	Poerenfundering	3	FunderingVerschijningsvorm
313	Poldergebied	3	WaterbeheergebiedVerschijningsvorm
314	Polystyreen fundering	3	FunderingVerschijningsvorm
315	Pompunit	3	RioolputVerschijningsvorm
316	Prefab fundering	3	FunderingVerschijningsvorm
317	Privédrainage	3	DrainagestelselVerschijningsvorm
318	Putbuis	3	RioolputVerschijningsvorm
319	Putdeksel - licht verkeer	3	DekselVerschijningsvorm
320	Putdeksel - zwaar verkeer	3	DekselVerschijningsvorm
321	Putdeksel met instroomvoorziening	3	DekselVerschijningsvorm
322	Putoriëntatie	3	RioleringNodeVerschijningsvorm
323	Putschacht	3	CompartimentVerschijningsvorm
324	Rechthoekig	4	DekselVorm
325	Rechthoekig	4	CompartimentVorm
326	Rechthoekig	4	StuwmuurVorm
330	Regenwatertuin	3	RegenwaterbufferVerschijningsvorm
331	Reinigende put	3	RioolputVerschijningsvorm
332	Reservoir	3	PutMaaiveldschematisering
333	Reservoir	3	PutMaaiveldschematisering
334	Reservoir	3	PutMaaiveldschematisering
335	Rietmatten	3	FunderingVerschijningsvorm
336	Rioleringsgebied	3	WaterbeheergebiedVerschijningsvorm
337	Riooldrainage	3	DrainagestelselVerschijningsvorm
338	Riooleindgemaal	3	GemaalVerschijningsvorm
339	Rioolgemaal	3	GemaalVerschijningsvorm
340	Rioolput met geleiding	3	RioolputVerschijningsvorm
341	Rioolstreng	3	RepresentatieFysiekObjectVerschijningsvorm
342	Risicogebied	3	WaterbeheergebiedVerschijningsvorm
343	Rolverbinding	3	FysiekObjectVerbindingstype
344	Rond	4	DekselVorm
345	Rond	4	DoorlaatVorm
346	Rond	4	StuwmuurVorm
347	Rond	4	CompartimentVorm
348	Rond	4	StroomprofielVorm
349	Roostergoot	3	LijngootVerschijningsvorm
350	Rubberringduiker	3	DuikerVerschijningsvorm
351	RWS kolk	3	KolkVerschijningsvorm
352	RWSR gebied	3	WaterbeheergebiedVerschijningsvorm
353	Samenloop	3	PompputPompschakeling
354	Samenloop	3	GemaalPompschakeling
355	Schaarstegebied	3	WaterbeheergebiedVerschijningsvorm
356	Schelpdierwater	3	WaterbeheergebiedVerschijningsvorm
357	Schroef-centrifugaal waaier	3	PompTypeWaaier
358	Schroefcentrifugaalpomp	3	PompVerschijningsvorm
359	Schroefpomp	3	PompVerschijningsvorm
360	Schroefwaaier	3	PompTypeWaaier
361	Schuif	3	MechanischeAfsluiterVerschijningsvorm
362	Semi-open waaier	3	PompTypeWaaier
363	Septictank	3	ZuiveringsreservoirVerschijningsvorm
364	Slangsifon	3	StankafsluiterVerschijningsvorm
365	Slibvangput	3	SlibafscheiderVerschijningsvorm
366	Sloofconstructie	3	FunderingVerschijningsvorm
367	Spanduiker	3	DuikerVerschijningsvorm
368	Spindel	3	AfsluiteraandrijvingVerschijningsvorm
369	Spiraalvormige omwonden Iining	3	LiningVerschijningsvorm
370	Spoelgemaal	3	GemaalVerschijningsvorm
371	Spoelklep	3	MechanischeAfsluiterVerschijningsvorm
372	Spoelleiding	3	MechanischeTransportleidingVerschijningsvorm
373	Sport- en speldrainage	3	DrainagestelselVerschijningsvorm
374	Standpijp	3	AansluitleidingVerschijningsvorm
