VakdisciplineObjecttypeID	IMBORGUID	Vakdiscipline	Objecttype	Wijzigingsdatum
1311	772e91cc-389b-4b8c-8ecb-5cf3063006ad	14405	10205	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1312	519da717-59c0-48f2-92f0-740ecac425a8	21577	29	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1313	325acdf1-dd9d-4a64-a024-958f5d054fed	21577	50	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1314	16037fbb-b9c2-4f82-be98-b562cee82d8f	21577	14991	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1315	157b3e97-4e8a-4e5e-adf5-f0547bdd9958	21577	9586	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1316	4d7bf553-cd51-4c1c-8f3e-430e01c45feb	21577	81	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1317	992e7ebf-065c-4873-9749-b4d886243a7e	21577	82	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1318	2fbfb56f-dfde-407f-af20-6260cacfa63d	21577	102	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1319	a1a1682d-1747-4775-8fc9-79103af94a5e	21577	140	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1320	848262fd-e541-4333-955c-af155e338b8b	21577	14649	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1321	bcc02d3f-8336-4415-ae70-26588916a71e	21577	175	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1322	0cd05f49-72c4-4c93-a9f8-79a29f94343d	21577	190	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1323	bce3cbef-dc77-4ddb-be7d-33474b95843d	21577	16871	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1324	7f9c48a6-3d3d-44f6-841e-f33dd252ca1d	21577	15551	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1325	7eb0bff8-b162-46fb-bd38-5b4909f97e69	21577	192	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1326	fb42cce6-ca8e-41d3-905d-96323f16a9a3	21577	193	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1327	dae22059-62b3-41ee-bf7c-d5ce9344092d	21577	224	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1328	0917afd4-e1ac-4113-acff-f3c8bb6d3625	21577	227	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1329	a34530f5-c43b-48a3-b7f9-f1a1fc06f098	21577	254	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1330	8e0f830e-319b-4d19-993f-045f7418b362	21577	274	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1331	5d8a36ba-2ff4-42d5-b317-b2773a4cccd8	21577	10252	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1332	9493693f-23e2-4237-b96d-155a05c96659	21577	290	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1333	68fd9eab-8ee7-4114-9ef8-bf51b1bafe47	21577	330	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1334	8e3c9198-6b15-48e5-a536-0e363e2a11e0	21577	10249	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1335	6991bb16-6160-4cbd-9b56-c57362b8dfe7	21577	187	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1336	894b444c-7527-4bfb-9102-b37f7310cae5	21577	53	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1337	d8f9500d-394e-4dd4-adbd-57948bc83326	21577	199	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1339	2db6e113-993e-4927-89f1-59ee44fb449a	21577	16549	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1340	4931f46a-a842-4947-8c15-29ede0a37012	21577	16535	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1341	81238c26-53ff-46a2-9a0b-173232257ced	21577	38	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1342	59e9ce0e-969c-4c35-9ed7-3c185055132b	21577	10250	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1343	c2115776-3863-44d4-9d39-4d00f08e39e5	21577	16542	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1345	5222bcde-218b-4444-9f0f-fa250a5b40d4	21577	21574	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1346	07eb17b1-4159-41fa-8df7-f92309dce6dc	21577	21575	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1348	4d44b372-a639-4cec-b905-453237dd0005	21577	21578	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1349	287d3f96-3a5b-4ec8-9099-78b90fc7e708	14399	21611	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1350	253b5770-74cc-4ed7-baa3-4b68c1684fdb	14399	21612	Tue Nov 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1351	c3d90dd3-ffd6-437e-bf3d-da5d35ac5aed	14407	9579	Wed Jan 25 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
1352	7672b367-69f7-4f26-bba8-ebb580efe4e1	14407	95	Wed Jan 25 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
1354	b38d53bb-eaa5-400e-b09c-cc6106e4d3db	15015	14844	Fri Mar 24 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
1355	3c56d6c1-4c68-4ca4-8f15-f2600762a440	14597	21777	Fri Mar 24 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
1356	39e7b75e-607f-40b5-a895-89f77c7e4e66	14393	21770	Fri Mar 24 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
1357	081a20ef-0385-42ac-8dee-7004f1e3e8bf	14397	21635	Fri Mar 24 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
1358	7ad2f0ba-aec3-4409-abb9-543d06ff866f	14396	21561	Fri Mar 24 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
1359	576f3a46-bf69-4d7b-954a-394405191dfb	14398	21630	Fri Mar 24 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
1360	85be6921-d733-47c0-93e6-6693d8eee434	14597	21631	Fri Mar 24 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
1361	1f4e4b10-4156-4be1-b0d4-0264bca784dd	14398	21634	Fri Mar 24 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
1362	3d71f712-54da-485f-bb01-70b231733ad6	14398	21654	Fri Mar 24 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
1363	c7d326ff-e84d-48f1-81e0-8da298a9bd1a	14393	21619	Fri Mar 24 2023 00:00:00 GMT+0000 (Coordinated Universal Time)
