CID	C
474	Oversteek: voetgangersoversteekplaats (VOP)
475	Oversteek: geregelde oversteekplaats (GOP)
476	Oversteek: bromfiets
477	Geregeld kruispunt: zeer complex
478	Geregeld kruispunt: eenvoudig
479	Geregeld kruispunt: complex
480	Enkelstrooksrotonde: met bypasse(es)
481	Regionale stroomweg: type I - 2x1
482	Regionale stroomweg: type I - 1x2
483	Gebiedsontsluitingsweg: type II
484	Gebiedsontsluitingsweg: type I
485	Gebiedsontsluitingsweg: 70 km/h
486	Gebiedsontsluitingsweg: 50 km/h
487	Erftoegangsweg: type 2
488	Erftoegangsweg: type 1
489	Erftoegangsweg: fietsstraat
490	Erftoegangsweg: erf
491	Erftoegangsweg: 30 km/h
492	G.5.2
493	G.5.1c
494	G.5.1 - zwart - rechts - staand
495	G.5.1 - zwart - rechts - liggend
496	G.5.1 - zwart - links - staand
497	G.5.1 - zwart - links - liggend
498	G.5.1 - geel - rechts - staand
499	G.5.1 - geel - rechts - liggend
500	G.5.1 - geel - links - staand
501	G.5.1 - geel - links - liggend
502	F.4
503	F.3 - 2 regels
504	F.3
505	F.2a rechts
506	F.2a links
507	F.1
508	E.9
509	E.8
510	E.7.1
511	E.7
512	E.6
513	E.5.9
514	E.5.8
515	E.5.7
516	E.5.6
517	E.5.5
518	E.5.4
519	E.5.3
520	E.5.2
521	E.5.15
522	E.5.14
523	E.5.13
524	E.5.12
525	E.5.11
526	E.5.10
527	E.5.1
528	E.5
529	E.4b
530	E.4a
531	E.3
532	E.25
533	E.24
534	E.23 + tekst
535	E.23
536	E.22
537	E.21
538	E.20
539	E.2
540	E.19
541	E.18
542	E.17
543	E.16
544	E.15
545	E.14
546	E.13
547	E.11.1
548	E.11
549	E.10
550	E.1
551	D.3a
552	D.2a
553	D.1b
554	D.1a
555	C.5
556	C.4
557	C.3
558	C.2
559	C.1
560	B.9b
561	B.9a
562	B.8
563	B.7
564	B.6
565	B.5
566	B.4b
567	B.4a
568	B.3b
569	B.3a
570	B.2b
571	B.2a
572	B.1c
573	B.1b
574	B.1a
575	B.11b
576	B.11a
577	A.9
578	A.8
579	A.7
580	A.6
581	A.5.1
582	A.5
583	A.4.1
584	A.4
585	A.3
586	A.20
587	A.2
588	A.1a
589	A.19
590	A.18
591	A.17
592	A.16
593	A.15
594	A.14
595	A.13
596	A.12
597	A.10
598	A.1
599	Lockerruimte
600	Verboden voor hondenbord
601	Opruimplicht
602	Losloopgebied
603	Aanlijnplicht en opruimplicht
604	Aanlijnplicht
605	Zeer slap veen
606	Slap veen
607	Wachttijdteller
608	VR10-9
609	VR10-8
610	VR10-7
611	VR10-6
612	VR10-5
613	VR10-4
614	VR10-3
615	VR10-2
616	VR10-15
617	VR10-14
618	VR10-13
619	VR10-12
620	VR10-11
621	VR10-10
622	VR10-1
623	VR09-9
624	VR09-8
625	VR09-7
626	VR09-6
627	VR09-5
628	VR09-4
629	VR09-3
630	VR09-2
631	VR09-15
632	VR09-14
633	VR09-13
634	VR09-12
635	VR09-11
636	VR09-10
637	VR09-1
638	VR09-04r
639	VR09-04l
640	VR09-01r
641	VR09-01l
642	VR07b
643	VR07
644	VR06
645	VR05
646	VR04
647	VR03
648	VR02
649	VR01
650	T-actieraam
651	T43l213
652	T42
653	T41-2r
654	T41-2l
655	T41-1r
656	T41-1l
657	T41
658	T32-3r
659	T32-3l
660	T32-2r
661	T32-2l
662	T32
663	T31-2r
664	T31-2l
665	T31
666	T307
667	T306
668	T305
669	T304
670	T303
671	T302
672	T301
673	T28-3l
674	T28
675	T27-3l
676	T27
677	T26-3l
678	T26-2l
679	T26
680	T25-2l
681	T25-1l
682	T25
683	T24-3r
684	T24
685	T23-3r
686	T23
687	T22-2r
688	T22
689	T21-2r
690	T21-1r
691	T21
692	T201re
693	T201r-Ae
694	T201r-A
695	T201r-4e
696	T201r-4
697	T201r
698	T201-nummer
699	T201letter
700	T201le
701	T201l-Ae
702	T201l-A
703	T201l-4e
704	T201l-4
705	T201l
706	T201e
707	T201be
708	T201b-Ae
709	T201b-A
710	T201b-4e
711	T201b-4
712	T201b
713	T201ae
714	T201a
715	T201-4e
716	T201-4
717	T201
718	T15-1r
719	T14-3l
720	T13-3l
721	T12-2l
722	T12
723	T113
724	T11-2r
725	T11-2l
726	T11-1r
727	T11-1l
728	T11
729	T104r
730	T104l
731	T104-1
732	T104
733	T102r
734	T102l
735	T102
736	T101e
737	T101
738	T05-3r
739	T05-3l
740	T05-2r
741	T05-2l
742	T05-1r
743	T05-1l
744	T05
745	T04-2r
746	T04-2l
747	T04-1lr
748	T04-1l
749	T04
750	T03-2l
751	T02-2r
752	T01-2r
753	T01-2l
754	T01
755	OB903-A
756	OB903
757	OB902-2
758	OB902-1
759	OB902
760	OB901-C
761	OB901-B
762	OB901-A
763	OB901
764	OB807-T
765	OB806-T
766	OB805-T
767	OB804-T
768	OB803-T
769	OB802-T
770	OB759
771	OB758
772	OB755
773	OB754
774	OB728
775	OB727
776	OB726
777	OB723
778	OB722
779	OB721
780	OB720
781	OB719
782	OB718
783	OB717
784	OB714
785	OB713r
786	OB713l
787	OB713
788	OB712r
789	OB712l
790	OB712
791	OB711r
792	OB711l
793	OB711
794	OB710
795	OB705
796	OB704
797	OB66
798	OB65
799	OB64
800	OB63
801	OB627
802	OB626
803	OB622
804	OB621
805	OB620
806	OB62
807	OB619
808	OB618
809	OB617
810	OB614
811	OB613
812	OB612
813	OB611
814	OB61
815	OB605
816	OB604
817	OB603
818	OB601
819	OB60
820	OB59
821	OB58
822	OB57
823	OB56
824	OB55
825	OB54
826	OB53
827	OB52
828	OB51
829	OB505
830	OB504
831	OB503
832	OB502
833	OB501rt
834	OB501r
835	OB501l
836	OB411m
837	OB411-500
838	OB402SymboolWaarde
839	OB401m
840	OB401-500
841	OB401-1.5
842	OB320
843	OB313
844	OB311
845	OB310
846	OB309
847	OB308
848	OB307
849	OB306
850	OB305
851	OB304
852	OB303
853	OB302
854	OB301
855	OB263
856	OB262
857	OB259b
858	OB259a
859	OB259
860	OB256
861	OB254
862	OB216p
863	OB215p
864	OB213p
865	OB212p
866	OB211p
867	OB210p
868	OB209p
869	OB208p
870	OB206p
871	OB203p
872	OB202p
873	OB201p
874	OB19
875	OB18r
876	OB18l
877	OB17r
878	OB17l
879	OB16
880	OB15
881	OB14
882	OB13
883	OB12
884	OB115
885	OB113
886	OB11
887	OB109
888	OB108
889	OB104
890	OB103
891	OB102
892	OB101
893	OB1002
894	OB1001
895	OB1000
896	OB10
897	OB09
898	OB08
899	OB07
900	OB06
901	OB05
902	OB04
903	OB03
904	OB02
905	OB01
906	L52e
907	L52
908	L51d
909	L51c
910	L51a
911	L51
912	L404
913	L403NL_OB401
914	L403NL
915	L403D
916	L403B
917	L402
918	L401
919	L306e
920	L306a
921	L305e
922	L305
923	L304e
924	L304
925	L303
926	L302b
927	L302a
928	L301rb
929	L301b
930	L301a
931	L217b
932	L217a
933	L216
934	L215-A12
935	L215-80
936	L215-100
937	L215
938	L214b
939	L214a
940	L213t
941	L213
942	L211
943	L21
944	L209f
945	L209c
946	L209b
947	L209a
948	L207
949	L205
950	L204
951	L203
952	L202
