LoggingGUID	VocabulairGUID	IMBORGUID	GitHub-issueID	Omschrijving	Terugkoppeling	Loggingsdatum	Status	Aard aanpassing	Collectie
234bcdcc-487f-4cd7-871b-3928ebdacd6a	{46071B96-D95F-4DDF-A9B3-155D5DBE1967}	{E21F18CD-7FC2-43C2-A770-3DC7D98EF214}	884	Analyse term niet gebruiken in definitie van term: categorie 1	De definitie van:ElementenverhardingFormaat; is aangepast van: "Het enumeratietype ElementenverhardingFormaat is de naam voor de domeinwaardenlijst van de klasse Elementenverharding en het attribuut formaat.", naar: "Het enumeratietype voor de domeinwaard	Fri May 05 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Definitie gewijzigd	Enumeratietype
235e4be0-6cf3-4212-9113-e6abc5224af5	{C598CC84-179D-4F98-B287-35E87EEA76B1}	{79A6B8D9-AC9E-47C0-8490-D31E0805D3B8}	884	Analyse term niet gebruiken in definitie van term: categorie 1	De definitie van:laptopaansluiting; is aangepast van: "Aanduiding voor de aanwezigheid van een laptopaansluiting in het object.", naar: "Aanduiding of er een aansluiting voor een mobiele computer in het object aanwezig is."	Fri May 05 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Definitie gewijzigd	Attribuut
23725938-6fce-41ae-b473-25da4eb8aa85	N.v.t.	{B314ABD6-63D1-41F1-93B4-632B4D131250}	336	ValruimteOmvang wijzigen in ValruimteAfstand	omvang valruimte toegevoegd met m2 als eenheid aan de klasse Valruimte-informatie in imborKern_K_KlassenAttributen.	Tue Jan 17 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Attribuut toegekend aan klasse	Attribuut
237ac7cd-071f-4165-a910-d6c4c96b7fd8	N.v.t.	{78152A80-EF84-49F3-B54A-C519E9B73715}	N.v.t.	Punaise toegevoegd aan refModel_Mapping met IMGeo.	Gebruik gemaakt van 'bor-type'.	Tue Dec 27 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Mapping toegevoegd	Objecttype
239e5cad-b102-4353-9eba-17eba03740b1	{D9F156DA-235D-482A-AB56-48EBD81BCAC7}	{BF77B63B-91FF-412B-88B9-1582E7ACAAFA}	884	Analyse term niet gebruiken in definitie van term: categorie 1	De definitie van:VerbindingszoneBiotooptype; is aangepast van: "Het enumeratietype VerbindingszoneBiotooptype is de naam voor de domeinwaardenlijst van de klasse Verbindingszone en het attribuut biotooptype.", naar: "Het enumeratietype voor de domeinwaard	Fri May 05 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Definitie gewijzigd	Enumeratietype
23a68087-4067-4e44-ab3e-0e77875da5b5	N.v.t.	{E07D043A-607A-4191-8FEE-06DD0FB54474}	1154	Gemeente Maastricht: Uitklimvoorziening uitbreiden	Kikkertrap is toegevoegd aan UitklimvoorzieningTypeGedetailleerd in imborKern_EnumeratiesDomeinwaarden	Wed Jun 28 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Domeinwaarde toegevoegd	Domeinwaarde
23a81dd8-2dfd-46fc-979f-f842910dc185	{5BAA2EC0-BEF0-419D-B90C-2D61741D67C0}	{5387FB60-8CBC-4E84-98AB-7EF95F1E04C0}	884	Analyse term niet gebruiken in definitie van term: categorie 1	De definitie van:Leislag; is aangepast van: "Bitumen in de vorm van een fijngemalen leislagsteen.", naar: "Bitumen in de vorm van een fijngemalen leisteen."	Fri May 05 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Definitie gewijzigd	Materie
23b55c25-e4c9-4785-aee2-3091cca0809a	N.v.t.	{6DB770DF-EF90-4D63-B2A0-C9B539B41D33}	1045	Amsterdam: SOS-paal als type van Meldpaal	SOS-paal toegevoegd aan enumeratietype MeldpaalType in imborKern_EnumeratiesDomeinwaarden.	Fri Nov 25 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Domeinwaarde toegevoegd	Domeinwaarde
23b8c07c-0d6f-4cf6-8684-a4f702c3aed4	N.v.t.	{FB22D76A-2F30-467F-BF55-42338117632B}	1096	UNAFACT: Nalopen eenheden van de combinaties van KlasseAttribuut i.r.t. GWSW	De eenheid van porositeit bij Infiltratiebassin gewijzigd naar m/dag	Mon Mar 27 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Wijziging	Eenheid gewijzigd	Eenheid
23c3bc18-fe36-4cc1-8d6f-54c4f9d0e4ca	{BBB5CA3B-E3B1-411D-9BD1-FEED1F95D654}	{745854AC-14F1-4412-B270-ED5F9ABE9379}	1101	
Afleidbare attributen zo veel mogelijk consistent uit IMBOR verwijderen	BeheerdObjectBeheergebied vervalt als term.	Fri May 19 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Vervallen	Enumeratietype vervallen	Enumeratietype
23cbe279-4e95-4714-9dec-464e88ef1a88	N.v.t.	{DA8FB2EA-743C-4676-A517-8F1AB16400CD}	1228	Afstemming Handboek Bomen en IMBOR definitief maken	boomkroonprojectie actueel (stelpost) toegevoegd aan Boom in imborKern_KlassenAttributen	Fri Dec 15 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Nieuw	Attribuut toegekend aan klasse	Attribuut
23cfa758-2f6d-4673-9cb3-de5f72c59a63	{BA093978-8545-4904-90DF-B57B6FD2E435}	{C0AC7E52-057E-4236-A8C0-80BF57B85FE4}	1116	Afstemming met Handboek Bomen: beschermingsstatus, beschermingsstatus gedetailleerd en meerstammig	beschermingsstatus komt te vervallen in imborVoc_Termen	Wed Apr 12 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	Vervallen	Term vervallen	Attribuut
