ABID	A	B
84	Bijenhotel	Faunaverblijfplaats
85	Bijenwand	Faunaverblijfplaats
86	Bijzonder putdeksel	Constructieonderdeel
87	Bijzondere putconstructie	Rioolput
88	Bijzondere tegel	Weginrichtingsobject
89	Bilgepomp	Installatie
90	Biofilter	Reservoir
91	Blinde inlaat	Constructieonderdeel
92	Bloemblok	Vegetatieobject
93	Blok	Weginrichtingsobject
94	Blusriool	Stedelijk waterleiding
95	Bochtstuk	Constructieonderdeel
96	Bodem	ReëelObject
97	Bodemval	Kunstwerk
98	Bolder	Straatmeubilair
99	Boom	Vegetatieobject
100	Boombeschermer	Straatmeubilair
101	Boomrooster	Straatmeubilair
102	Boomspiegel	Weginrichtingsobject
103	Boomstam	Straatmeubilair
104	Booster	Apparaat
105	Boostergemaal	Gemaal
106	Bordes	Gebouwcomponent
107	Bos	Groenobject
108	Bosplantsoen	Groenobject
109	Botanische tuin	Recreatiezone
110	Bouwblokdrainage	Stelsel
111	Bouwlaag	Gebouwcomponent
112	Bouwland	Groenobject
113	Brandblusinstallatie	Installatie
114	Brandgang	Wegzone
115	Brandkraan	Put
116	Brandput	Put
117	Brievenbus	Straatmeubilair
118	Broeihoop	Faunaverblijfplaats
119	Bron	Water
120	Buffertoren	Constructieonderdeel
121	Buisdeel	Constructieonderdeel
122	Buitengrens	Hulpobject
123	Buitenopstellingskast	Kast
124	Bungalowpark	Recreatiezone
125	Busperron	Verkeerskundige zone
126	Bussluis	Wegzone
127	Busstation	Verkeerskundige zone
128	Buurtgrens	Registratieve ruimte
129	CAI-kast	Kast
130	Calamiteitendoorsteek	Verkeerskundige zone
131	Camera	Sensor
132	Camping	Recreatiezone
133	Carpoolplaats	Verkeerskundige zone
134	Centrale verdeelkast	Kast
135	Centrale voedingskast	Kast
136	Centrifugaalpomp	Installatie
137	Centrumgebied	Geografische ruimte
138	Chemicaliënleiding	Holle leiding
139	Chipping doel	Straatmeubilair
140	Clubwasser	Straatmeubilair
141	Coating	Constructieonderdeel
142	Combikabel	Kabel
143	Combikast	Kast
144	Combinatiebord	Bord
145	Communicatiemodule	Apparaat
146	Compartiment	Beheerzone
147	Compensator	Constructieonderdeel
148	Computer	Apparaat
149	Constructielaag	Constructie
150	Contact	Apparaat
151	Container	Bak
152	Containerput	Put
153	Controller	Apparaat
154	Converter	Apparaat
155	Coupure	Kunstwerk
156	Coupurecomplex	Complex
157	Cunetdrainage	Stelsel
158	Dakkapel	Gebouwcomponent
159	Dam	Kunstwerk
160	Damwand	Kunstwerk
161	Dassenburcht	Faunaverblijfplaats
162	Datakabel	Kabel
163	Debietmeter	Sensor
164	Deelliner	Constructieonderdeel
165	Deelsportcomplex	Complex
166	Dek	Kunstwerkdeel
167	Deniltrap	Faunavoorziening
168	Detectielus	Sensor
169	Detector	Sensor
170	Deur	Constructieonderdeel
171	Dierenweide	Recreatiezone
172	Diffusiescherm	Constructieonderdeel
173	Dijkkruin	Waterbeheerzone
174	Dijklichaam	Kunstwerk
175	Dijknol	Geografische ruimte
176	Dispenser hondenpoepzakjes	Straatmeubilair
177	DIT-riool	Stedelijk waterleiding
178	Dobbe	Oppervlaktewater
179	Dok	Bouwwerk
180	Doorspoelput	Rioolput
181	Doorspuitput	Rioolput
182	Doorsteek	Verkeerskundige zone
183	Doorvoergat	Put
184	Douche	Straatmeubilair
185	Drain	Stedelijk waterleiding
186	Drainaansluitleiding	Stedelijk waterleiding
187	Drainage transportstelsel	Stelsel
188	Drainage/infiltratie transportstelsel	Stelsel
189	Drainagegemaal	Gemaal
190	Drainageput	Put
191	Drainputdeksel	Constructieonderdeel
192	Drijflaagschot	Constructieonderdeel
193	Drijflijn	Waterinrichtingsobject
194	Drijvende constructie	Vegetatieobject
195	Drinkbak	Bak
196	Drinkwaterinlaat	Kunstwerk
197	Drinkwaterpunt	Straatmeubilair
198	Drukknop	Sensor
199	Drukleiding	Stedelijk waterleiding
200	Drukmeter	Sensor
201	Drukriolering	Stedelijk waterleiding
202	Drukrioleringspomp	Installatie
203	DT-riool	Stedelijk waterleiding
204	Dubbelkerende spindelschuif	Constructieonderdeel
205	Dugout	Straatmeubilair
206	Duiker	Stedelijk waterleiding
207	Duikerput	Put
208	Duikerstelsel	Stelsel
209	Duikschot	Constructieonderdeel
