ABID	A	B
788	Vaarwegzone	Gebruikszone water
789	Vacuümleiding	Stedelijk waterleiding
790	Vacuümopslagtank	Put
791	Vacuümpompstation	Gemaal
792	Vacuümriolering	Stedelijk waterleiding
793	Valleiding	Stedelijk waterleiding
794	Valput	Rioolput
795	Vangkooi	Straatmeubilair
796	Vaste brug	Overbrugging
797	Vastzetvoorziening	Straatmeubilair
798	Veerooster	Weginrichtingsobject
799	Veerverbinding	Gebruikszone water
800	Vegetatiedak	Vegetatieobject
801	Veiligheidsregio	Registratieve ruimte
802	Veiligheidsrooster	Constructieonderdeel
803	Veiligheidsvoorziening	Straatmeubilair
804	Veldbelijning	Hulpobject
805	Veldverlichtingmast	Mast
806	Ven	Oppervlaktewater
807	Verbeterd gemengd rioolstelsel	Stelsel
808	Verbeterd gescheiden systeem	Systeem
809	Verbeterd hemelwaterstelsel	Stelsel
810	Verbeterde overstortput	Rioolput
811	Verbindingszone	Ecologische zone
812	Verblijfsobject	Functioneel gebouwobject
813	Verblindingswering	Weginrichtingsobject
814	Verholen goot	Open leiding
815	Verkeersaansluiting	Verkeerskundige zone
816	Verkeersbord	Bord
817	Verkeersdrempel	Wegzone
818	Verkeerseiland	Wegzone
819	Verkeersknooppunt	Verkeerskundige zone
820	Verkeerslantaarn	Installatie
821	Verkeersplateau	Wegzone
822	Verkeersregelinstallatie	Complex
823	Verkeersspiegel	Bord
824	Verkeersteller	Sensor
825	Verkeerszone	Verkeerskundige zone
826	Verloopstuk	Constructieonderdeel
827	Vertikale drainage	Stelsel
828	Verzameldrainage	Stelsel
829	Verzamelplaats	Put
830	Verzamelput	Rioolput
831	Verzinkbare piramide	Straatmeubilair
832	Verzorgingsplaats	Verkeerskundige zone
833	Vetafscheider	Constructieonderdeel
834	Vetvangput	Put
835	Viaduct	Overbrugging
836	Videconstructie	Gebouwcomponent
837	Vijver	Oppervlaktewater
838	Vijzelgemaal	Gemaal
839	Vijzelpomp	Installatie
840	Vislift	Faunavoorziening
841	Visoverwinteringsplek	Faunaverblijfplaats
842	Vispaaiplaats	Faunaverblijfplaats
843	Visserijzone	Gebruikszone water
844	Vissluis	Faunavoorziening
845	Vistrap	Faunavoorziening
846	Vitrinekast	Straatmeubilair
847	Vlaggenmast	Straatmeubilair
848	Vlaggenmastput	Straatmeubilair
849	Vlakmarkering	Wegmarkering
850	Vleermuiskelder	Faunaverblijfplaats
851	Vleermuisportaal	Faunavoorziening
852	Vlinderklep	Constructieonderdeel
853	Vlindertuin	Recreatiezone
854	Vlonder	Kunstwerk
855	Vochtmeter	Sensor
856	Voedersilo	Bouwwerk
857	Voegovergang	Weginrichtingsobject
858	Voetpad	Verkeerskundige zone
859	Vogeleiland	Beheerzone
860	Vogeltil	Faunaverblijfplaats
861	Volgeschuimde leiding	Stedelijk waterleiding
862	Volgeschuimde put	Put
863	Volgezande leiding	Stedelijk waterleiding
864	Volkstuin	Recreatiezone
865	Voorde	Kunstwerk
866	Voorschakelapparaat	Apparaat
867	Voorzieningenpaal	Straatmeubilair
868	Vrijverval drainagestelsel	Stelsel
869	Vrijverval leidingsegment	Stedelijk waterleiding
870	Vrijverval transportstelsel	Stelsel
871	VRI-kast	Kast
872	VRI-netwerk	Complex
873	Vuilvang	Kunstwerk
874	Vuilvangrooster	Constructieonderdeel
875	Vuilwaterinnamestation	Installatie
876	Vuilwaterriool	Stedelijk waterleiding
877	Vulpunt	Installatie
878	Vuurplek	Beheerzone
879	Wachtplaatsvoorziening	Waterinrichtingsobject
880	Wachttijdvoorspeller	Installatie
881	Wadi	Reservoir
882	Walstroomkast	Kast
883	Wandarm	Constructieonderdeel
884	Wandelpad	Verkeerskundige zone
885	Warmte- en koudeopslag	Functioneel ondergronds object
886	Warmtebron	Installatie
887	Warmtecamera	Sensor
888	Warmtepomp	Installatie
889	Warmtesensor	Sensor
890	Warmtewinningsnet	Stelsel
891	Warmtewisselaar	Installatie
892	Water onder duiker	Oppervlaktewater
893	Waterbeheergebied	Waterbeheerzone
894	Waterkast	Kast
895	Waterkering	Kering
896	Waterkoeler	Straatmeubilair
897	Waterkwaliteitssensor	Sensor
898	Waterleiding	Holle leiding
899	Waterleidingput	Put
900	Waterloopas	Edge
901	Watermeterput	Put
902	Waterniveaumeter	Sensor
903	Waterplein	Reservoir
904	Waterschapgrens	Registratieve ruimte
905	Watersportzone	Gebruikszone water
906	Watertrap	Kunstwerk
907	Waterval	Kunstwerk
908	Waterweg	Geografische ruimte
909	Weegpunt	Sensor
910	Weerstation	Sensor
911	Weesleiding	Holle leiding
912	Weg	Wegzone
913	Wegas	Edge
914	Wegberm	Wegzone
915	Wegdekreflector	Weginrichtingsobject
916	Wegknoop	Vertex
917	Wegvak	Wegzone
918	Werkgebied	Geografische ruimte
919	Werkpad	Verkeerskundige zone
920	Werveloverstortput	Rioolput
921	Wervelput	Rioolput
922	Wervelventiel	Constructieonderdeel
923	Wiel	Oppervlaktewater
924	Wifi-antenne	Sensor
925	Wifi-sensor	Sensor
926	Wijkgrens	Registratieve ruimte
927	Wildrooster	Weginrichtingsobject
928	Wildsignalering	Sensor
929	Windketel	Constructieonderdeel
930	Windmeter	Sensor
931	Windmolen	Bouwwerk
932	Windsingel	Groenobject
933	Windturbine	Bouwwerk
934	Windzak	Straatmeubilair
935	Winkelgebied	Geografische ruimte
936	Winterverblijf	Faunaverblijfplaats
937	Woninglocatie	Registratieve ruimte
938	Woongebied	Geografische ruimte
939	Woonplaatsgrens	Registratieve ruimte
940	Wrijfgording	Waterinrichtingsobject
941	Y-stuk	Constructieonderdeel
942	Zadel	Constructieonderdeel
943	Zakbaak	Constructieonderdeel
944	Zandhouder	Straatmeubilair
945	Zandkoffer	Reservoir
946	Zandvangput	Put
947	Zandvlakte	Groenobject
948	Zee	Oppervlaktewater
949	Zendmast	Mast
950	Zichthoek	Beheerzone
951	Zichtmeter	Sensor
952	Zinker	Stedelijk waterleiding
953	Zinkerput	Rioolput
954	Zitmuur	Straatmeubilair
955	Zitrand	Straatmeubilair
956	Zitsteen	Straatmeubilair
957	Zonk	Constructieonderdeel
958	Zonnepaneel	Installatie
959	Zoutwaterleiding	Holle leiding
960	Zuigerpomp	Installatie
961	Zweepmast	Paalconstructie
962	Afwateringssysteem	Systeem
