MappingID	MappingGUID	Objecttype	Attribuut1	Domeinwaarde1	Attribuut2	Domeinwaarde2	Attribuut3	Domeinwaarde3	RelatieInformatie	refInformatiemodel	refObjecttype	refAttribuut1	refDomeinwaarde1	refAttribuut2	refDomeinwaarde2	refAttribuut3	refDomeinwaarde3	Toelichting	Wijzigingsdatum
89	08f6f99f-2320-4f83-8633-09a5cf8ccc4e	77	null	null	null	null	null	null	14786	5	28	22	136	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
90	1a06e6ee-623a-47c2-bdc6-caede6a31321	78	null	null	null	null	null	null	14786	5	28	22	139	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
91	6e78e2ea-e301-4cb0-a67d-34be09dfeb7f	79	null	null	null	null	null	null	14786	5	9	31	140	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
92	001ecf79-db77-4fb5-a9f9-cfb4c5c623de	79	375	9372	null	null	null	null	14786	5	9	31	503	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
93	e8af3189-1603-431d-ab04-831f70c1c684	80	null	null	null	null	null	null	14786	5	5	22	143	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
94	0dc934b9-c982-438a-89a5-0c01ba1c4318	81	375	9015	null	null	null	null	14786	5	28	31	141	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
95	97af1549-ee3f-4536-bef1-1d1f5fefe7d6	81	375	9013	null	null	null	null	14786	5	28	31	142	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
96	a884d357-47b3-4252-8cbe-5410c4de5d12	81	null	null	null	null	null	null	14786	5	28	22	145	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
97	59bd11ac-5aa3-4e35-9066-19ba1178f0aa	82	null	null	null	null	null	null	14786	5	21	22	146	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
98	03266b05-c55a-4bd3-b217-be93fa345cdd	83	null	null	null	null	null	null	14786	5	23	22	147	null	null	null	null	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
