Parent;Child
Weginrichtingsobject;Bijzondere tegel
Pomp;Bilgepomp
Overig materiaal;Bims
Speelterrein;Binnenspeelterrein
Kunststof;BioBased HDPE
Composiet;BioComposiet
Materie;Biodivers materiaal
Zuiveringsreservoir;Biofilter
InformatieObject;Biotoop-informatie
Materie;Bitumen
Composiet;Bitumen-houtvezel composiet
Opslagbak;Bladkorf
Constructieonderdeel;Bliksemafleider
Kabel;Bliksemafleidingskabel
Bak;Blikvanger
Inlaat;Blinde inlaat
Tegel;Blindengeleidetegel
Vegetatieobject;Bloemblok
Weginrichtingsobject;Blok
Vrijverval rioolleiding;Blusriool
Functie;Bluswater leveren
Verbindingsstuk;Bochtstuk
Reëel object;Bodem
DiscreetObject;Bodem
Groenobject;Bodembedekkers
Kunstwerk;Bodembescherming
Waterstaatkundig kunstwerk;Bodemval
Gebouw;Boerderij
Waterbeheergebied;Boezemgebied
Straatmeubilair;Bolder
Armatuur;Bolderarmatuur
InformatieObject;Bomenstructuur-informatie
Vegetatieobject;Boom
Straatmeubilair;Boombeschermer
InformatieObject;Boomkenmerk
Weginrichtingsobject;Boomkrans
Fruit- of kweekbomen;Boomkwekerij
Straatmeubilair;Boomrooster
Hout;Boomschors
Weginrichtingsobject;Boomspiegel
Straatmeubilair;Boomstam
InformatieObject;Boomvoorziening-informatie
Apparaat;Booster
Rioolgemaal;Boostergemaal
Constructie;Bord
Gebouwcomponent;Bordes
InformatieObject;Bordopschrift
Groenobject;Bos
Groenobject;Bosplantsoen
Recreatiezone;Botanische tuin
Drainagestelsel;Bouwblokdrainage
Kunstwerk;Bouwkuip
Gebouwcomponent;Bouwlaag
Groenobject;Bouwland
Speelterrein;Bouwspeelplaats
Verkeerskundige zone;Bouwweg
Constructie;Bouwwerk
Knooppunt;Bouwwerkoriëntatie
Paal;Bovenleidingmast
Functie;Bovenstrooms waterpeil regelen
InformatieObject;Brandbescherming-informatie
Installatie;Brandblusinstallatie
Veiligheidsvoorziening;Brandblusser
Detector;Branddetectiesysteem
Verkeerskundige zone;Brandgang
Straatmeubilair;Brandkraan
Markeringspaal;Brandleidinglocatiepaal
Put;Brandput
Veiligheidsvoorziening;Brandslang
Markeringspaal;Brandstoflocatiepaal
Detector;Breedtedetectieapparaat
Zand;Brekerzand
Grind;Brekerzand-steenslagmengsel
Straatmeubilair;Brievenbus
Stuw;Brievenbusstuw
Faunaverblijfplaats;Broeihoop
Oppervlaktewater;Bron
Rol;Bronhouder
Metaal;Brons
Complex;Brugcomplex
Verkeerslicht;Bruglicht
Gebouw;Brugwachterskantoor
Waterslagvoorziening;Buffertoren
Constructieonderdeel;Buisdeel
Hek;Buishek
Paal;Buispaal
Sportveld;Buitenfitnessterrein
Hulpobject;Buitengrens
Kast;Buitenopstellingskast
Recreatiezone;Bungalowpark
Gebouw;Bunker
Kunstwerk;Bunkerponton
OV-voorziening;Busperron
Verkeerskundige zone;Bussluis
Verkeerskundige zone;Busstation
Apparaat;Buurtbatterij
Informatiebord;Buurtbord
Registratieve ruimte;Buurtgrens
Bebouwingskern;Buurtschap
Kast;CAI-kast
Verkeerskundige zone;Calamiteitendoorsteek
Apparaat;Camera
Informatiebord;Campagnebord
Recreatiezone;Camping
Publiekrechtelijk rechtspersoon;Caribisch openbaar lichaam
Verkeerskundige zone;Carpoolplaats
Stuw;Cascadestuw
Materie;Cement
Beton;Cementbeton
Cement;Cementmortel
Kast;CENT-R
Kast;Centrale verdeelkast
Kast;Centrale voedingskast
Pomp;Centrifugaalpomp
Geografische ruimte;Centrumgebied
Holle leiding;Chemicaliënleiding
Markeringspaal;Chemielocatiepaal
Toiletvoorziening;Chemisch toilet
Golfbaanvoorziening;Chipping doel
Gebouw;Clubhuis
Golfbaanvoorziening;Clubwasser
Bescherming;Coating
Metaal;Coil coating Aluminium
Sportveld;Combibalspelterrein
Kabel;Combikabel
Kast;Combikast
Paal;Combimast
Bord;Combinatiebord
Speeltoestel;Combinatietoestel
InformatieObject;Communicatie-informatie
Apparaat;Communicatiemodule
Beheerzone;Compartiment
Knooppunt;Compartimentoriëntatie
Constructieonderdeel;Compensator
Functionele zonering;Complex
InformatieObject;Component-informatie
Materie;Composiet
Apparaat;Computer
Paal;Conische mast
Stuw;Conserveringstuw
Reëel object;Constructie
DiscreetObject;Constructie
Functie;Constructie beschermen
InformatieObject;Constructiekleur
Constructie;Constructielaag
Constructie;Constructieonderdeel
Representatie fysiek object;Constructieonderdeeloriëntatie
Apparaat;Contact
Bak;Container
Put;Containerput
Armatuur;Contourverlichting
Apparaat;Controller
Lichtbron;Conventionele lamp
Apparaat;Converter
Staal;Cortenstaal
Waterstaatkundig kunstwerk;Coupure
Complex;Coupurecomplex
Metaal;Cradle tot cradle aluminium
Gebouw;Crematorium
Sportveld;Cricketpitch
Hek;Cricketscreen
Sportveld;Cricketveld
Sportterrein;Crossbaan
Sportveld;Cruyff court
Drainagestelsel;Cunetdrainage
Markeringspaal;CV-locatiepaal
Gebouwcomponent;Dakkapel
Waterstaatkundig kunstwerk;Dam
Sluis;Damsluis
Sporttoestel;Damtafel
Waterstaatkundig kunstwerk;Damwand
Faunaverblijfplaats;Dassenburcht
Kabel;Datakabel
Meetinstrument;Debietmeter
Rol;Debiteur
Waterbeheergebied;Deelafvoergebied
Bebouwingskern;Deelkern
Constructieonderdeel;Deelliner
Complex;Deelsportcomplex
Tegel;Deense tegels
Kunstwerkdeel;Dek
Afdekking;Deksel
Representatie fysiek object;Dekseloriëntatie
Vispassage;Deniltrap
Sensor;Detectielus
Sensor;Detector
Constructieonderdeel;Deur
Markeringmateriaal;Diamond Grade
Markeringmateriaal;Diamond Grade retroreflecterende folie
Detector;Dieptedetectiebalk
Damwand;Diepwand
Recreatiezone;Dierenweide
Constructieonderdeel;Diffusiescherm
Kunstwerk;Dijkbekleding
Waterbeheerzone;Dijkkruin
Waterstaatkundig kunstwerk;Dijklichaam
Geografische ruimte;Dijknol
Markeringspaal;Dijkpaal
ReëelObject;DiscreetObject
Straatmeubilair;Dispenser hondenpoepzakjes
Vrijverval rioolleiding;DIT-riool
Watervlakte;Dobbe
InformatieObject;Document
Sporttoestel;Doel
Sporttoestel;Doelwand
Bouwwerk;Dok
Functie;Door bemaling geregelde afvoer
Functie;Door stuwing geregelde afvoer
Constructieonderdeel;Doorlaat
Functie;Doorspoelen rioolstelsel
Rioolput;Doorspoelput
Rioolput;Doorspuitput
Verkeerskundige zone;Doorsteek
Functie;Doorvoeren leidingen en/of kabels
Put;Doorvoergat
Straatmeubilair;Douche
Hek;Draadraster
Speeltoestel;Draaitoestel
Functie;Dragen van licht verkeer
Functie;Dragen van zwaar verkeer
Holle leiding;Drain
Aansluitleiding;Drainaansluitleiding
Functie;Drainage en transport van hemel- en grondwater
Drainagestelsel;Drainage transportstelsel
Infiltratiestelsel;Drainage/infiltratie transportstelsel
Gemaal;Drainagegemaal
Put;Drainageput
Stelsel;Drainagestelsel
Zand;Drainagezand
Beton;Drainbeton
Deksel;Drainputdeksel
Armatuur;Drempellicht
Veiligheidsvoorziening;Drenkelingentrap
Constructieonderdeel;Drijflaagschot
Waterinrichtingsobject;Drijflijn
Waterinrichtingsobject;Drijfraam
Vegetatieobject;Drijvend groen
Functie;Drijvend materiaal opvangen
Vegetatieobject;Drijvend park
Waterinrichtingsobject;Drijvende trap
Waterinrichtingsobject;Drijver
Stuw;Drijverstuw
Bak;Drinkbak
Waterstaatkundig kunstwerk;Drinkwaterinlaat
Straatmeubilair;Drinkwaterpunt
Sensor;Drukknop
Meldpaal;Drukknoppaal
Mechanische rioolleiding;Drukleiding
Meetinstrument;Drukmeter
Mechanisch rioolstelsel;Drukriolering
Pomp;Drukrioleringspomp
Vrijverval rioolleiding;DT-riool
Schuif;Dubbelkerende spindelschuif
Sportvoorziening;Dugout
Speeltoestel;Duikelrek
Holle leiding;Duiker
