Parent;Child
Stankafsluiter;Stankscherm
Straatmeubilair;Stapsteen
Armatuur;Startbaanlicht
Zitelement;Stasteun
Installatie;Stationaire batterij
Waterbeheergebied;Stedelijk gebied
Holle leiding;Stedelijk waterleiding
Informatiebord;Stedenbandbord
Materie;Steen
Steen;Steenpuin
Grind;Steenslag
Constructieonderdeel;Steenwolblok
Infiltratiereservoir;Steenwolkoffer
Waterstaatkundig kunstwerk;Steiger
Tegel;Stelconplaat
Constructieonderdeel;Stellaag
Reëel object;Stelsel
Geleideconstructie;Stepbarrier
Privaatrechtelijk rechtspersoon;Stichting
Geografische ruimte;Stiltegebied
Faunavoorziening;Stobbenwal
Grind;Stol
Straatmeubilair;Stormanker
Mast;Straalzender
Markering;Straatbelijning
Kolk;Straatkolk
Constructie;Straatmeubilair
Bord;Straatnaambord
Deksel;Straatpot
Zand;Straatzand
Strand en strandwal;Strand
Onbegroeid terreindeel;Strand en strandwal
Douche;Stranddouche
Straatmeubilair;Strandoriëntatiepaal
Straatmeubilair;Strandpaal
Strand en strandwal;Strandwal
Geografische ruimte;Streek
Waterstaatkundig kunstwerk;Strekdam
Weginrichtingsobject;Strip
Functie;Stromingsenergie verlagen
Beheerzone;Strooiveld
Verkeerskundige zone;Strook
Verkeerskundige zone;Strookvak
Herdenkingsmonument;Struikelsteen
Groenobject;Struiken
Groenobject;Struikrozen
Fietsparkeervoorziening;Stuurdraagsysteem
Waterstaatkundig kunstwerk;Stuw
Uitlaatconstructie;Stuwbak
Complex;Stuwcomplex
Constructieonderdeel;Stuwconstructie
Waterbeheergebied;Stuwgebied
Mechanische afsluiter;Stuwklep
Wand;Stuwmuur
Rioolput;Stuwput
Vrijverval rioolleiding;Stuwrioolleiding
Functie;Surveillance
Gebouw;SV-station
Golfbaanvoorziening;Swinghulp
Apparaat;Switch
Markering;Symboolmarkering
Gebouw;Synagoge
Reëel object;Systeem
Straatmeubilair;Tafel
Sporttoestel;Tafeltennistafel
Sporttoestel;Tafelvoetbaltafel
Faunaverblijfplaats;Takkenhoop
Faunaverblijfplaats;Takkenril
Kunstwerk;Taludbekleding
Goot;Taludgoot
Vrijverval rioolleiding;Tandemriool
Verkeerskundige zone;Tankstation
Textiel;Tapijt
Golfbaanvoorziening;Tassteun
Meldpaal;Taxipaal
Golfbaanvoorziening;Teemarker
Materie;Tegel
Tegel;Tegel keramiek
Functie;Tegengaan van parkeren
Functie;Tegengaan van verblinding
Markering;Tekstmarkering
Kast;Telecomkast
Straatmeubilair;Telefooncel
Kast;Telkast
Installatie;Telpaal
Gebouw;Tempel
Sportveld;Tennisbaan
Sportveld;Tenniskooi
Sporttoestel;Tennisset
Zand;Ternair zand
Beheerzone;Terras
Speelterrein;Terrein speeltuinvereniging
Rioolstelsel;Terreinriolering
Faunameubilair;Terugkeerluik
Mechanische afsluiter;Terugslagklep
Materie;Textiel
Holle leiding;Thermische pijpleiding
Markeringmateriaal;Thermoplastisch materiaal profiel
Markeringmateriaal;Thermoplastisch materiaal type I
Markeringmateriaal;Thermoplastisch materiaal type II
Markeringmateriaal;Thermoplastisch materiaal verspuitbaar type I
Functie;Tijdelijk opslaan van afvalwater
Functie;Tijdelijke berging van afvalwater
Functie;Tijdelijke berging van hemelwater
Functie;Tijdelijke berging van hemelwater en vuilwater
Functie;Tijdelijke berging van vuilwater
Functie;Tijdelijke opslag afvalwater perceel
Registratie;TijdlijnGeldigheid
Registratie;TijdlijnRegistratie
Sluis;Tijsluis
Groenobject;Tiny forest
Functie;Toegang belemmeren
Functie;Toegang geven tot aansluitleiding
Functie;Toegang geven tot een leiding
Functie;Toegang geven tot het rioolstelsel
Functie;Toegang geven tot zinker
Functie;Toegang geven voor doorspoelen
Functie;Toegang verschaffen
Installatie;Toegangshekinstallatie
Verkeerskundige zone;Toegangspad
Hek;Toegangspoort
Gebouwcomponent;Toegangstrap
Functie;Toegankelijk houden
Installatie;Toeritdoseerinstallatie
Verkeerslicht;Toeritdoseringslicht
Straatmeubilair;Toiletvoorziening
Verkeerskundige zone;Tolplaats
Geometrische representatie;Topologisch element
Kunststof;TPE
Ecologische zone;Tracé
Gebouw;Trafo
Straatmeubilair;Trafozuil
Verkeerskundige zone;Trailerhelling
Verkeerskundige zone;Trambaan
OV-voorziening;Tramheuvel
Spooras;Tramspoor
Verkeerskundige zone;Transferium
Functie;Transport van afvalwater
Functie;Transport van afvalwater onder een obstakel door
Functie;Transport van grondwater
Functie;Transport van hemelwater
Functie;Transport van hemelwater en vuilwater
Functie;Transport van oppervlaktewater
Functie;Transport van overstortend afvalwater
Functie;Transport van spoelwater
Functie;Transport van vuilwater
Functie;Transporteert vooral
Holle leiding;Transportleiding
Stedelijk waterleiding;Transportleiding
Vrijverval transportleiding;Transportrioolleiding
Functionele ruimte;Transportruimte
Stelsel;Transportstelsel
Systeem;Transportsysteem
Gebouwcomponent;Trap
Sportveld;Trapveld
Spooras;Treinspoor
Put;Trekput
Open bouwwerk;Tribune
Sportveld;Trimbaan
Stuw;Trommelstuw
Kolk;Trottoirkolk
Verbindingsstuk;T-stuk
Verbindingsstuk;Tubelure
Natuursteen;Tufsteen
Ondertunneling;Tunnel
Tunneldeel;Tunnelbak
Tunneldeel;Tunnelbuis
Complex;Tunnelcomplex
Constructie;Tunneldeel
Tunneldeel;Tunnelgang
Rioolgemaal;Tunnelgemaal
Verkeerskundige zone;Tunnelsegment
Verkeerskundige zone;Tunneltracé
Installatie;Tunnelventilatie
Tunneldeel;Tunnelwand
Sporttoestel;Turntoestel
Gemaal;Tussengemaal
Vegetatieobject;Tuunwal
Mast;TV-toren
Waterbeheerzone;Uiterwaard
Constructieonderdeel;Uithouder
Recreatiezone;Uitkijkpunt
Open bouwwerk;Uitkijktoren
Faunavoorziening;Uitklimvoorziening
Representatie fysiek object;Uitlaat
Aansluitpunt;Uitlaat (punt)
Waterstaatkundig kunstwerk;Uitlaatconstructie
Loze leiding;Uitlegger
Functie;Uitstroom van afvalwater naar oppervlaktewater
Uitlaatconstructie;Uitstroombak
Weginrichtingsobject;Uitstroomband
Weginrichtingsobject;Uitstroomvoorziening
Privaatrechtelijk rechtspersoon;Uitvoerende organisatie
Sluis;Uitwateringssluis
Markeringmateriaal;Ultimate sign
Privaatrechtelijk rechtspersoon;Universiteit
Toiletvoorziening;Urilift
Toiletvoorziening;Urinoir
Straatmeubilair;Urnengraf
Grafvoorziening;Urnenmuur
Grafvoorziening;Urnennis
Functioneel ondergronds object;Utiliteitsnet
Constructieonderdeel;Utility duct
Gebruikszone water;Vaarweg
Gebruikszone water;Vaarwegzone
Mechanische rioolleiding;Vacuümleiding
Put;Vacuümopslagtank
Rioolgemaal;Vacuümpompstation
Mechanisch rioolstelsel;Vacuümriolering
Holle leiding;Valleiding
Rioolput;Valput
InformatieObject;Valruimte-informatie
Zand;Valzand
Functie;Van stroom voorzien
Sportvoorziening;Vangkooi
Installatie;Vangmast
Overbrugging;Vaste brug
Fietsparkeervoorziening;Vastzetvoorziening
Weginrichtingsobject;Veerooster
Gebruikszone water;Veerverbinding
Vegetatieobject;Vegetatiedak
Begroeiing;Vegetatieobject
Informatiebord;Veiligheidsinstructiebord
Kabel;Veiligheidskabel
Registratieve ruimte;Veiligheidsregio
Constructieonderdeel;Veiligheidsrooster
Straatmeubilair;Veiligheidsvoorziening
Hek;Veldafscheiding
Markering;Veldbelijning
Armatuur;Veldverlichting
Mast;Veldverlichtingmast
Watervlakte;Ven
Gebouw;Ventilatiegebouw
Constructieonderdeel;Verankering
Veiligheidsvoorziening;Verbandtrommel
Gemengd rioolstelsel;Verbeterd gemengd rioolstelsel
Systeem;Verbeterd gescheiden systeem
Hemelwaterstelsel;Verbeterd hemelwaterstelsel
Externe overstortput;Verbeterde overstortput
Functie;Verbeteren van koeling
Functie;Verbeteren van luchtkwaliteit
Functie;Verbeteren van vochthuishouding
Functie;Verbinden aansluitleiding met rioolput of rioolleiding
Functie;Verbinden van drie leidingen
Functie;Verbinden van leidingen
Functie;Verbinden van leidingen in een hoek
Functie;Verbinden van leidingen met verschillend materiaal of verbindingstype
Functie;Verbinden van leidingen met verschillende diameter
Functie;Verbinden van twee leidingen
Functie;Verbinden van vier leidingen
Edge;Verbinding
Functie;Verbinding tussen oppervlaktewater
Constructieonderdeel;Verbindingsstuk
Ecologische zone;Verbindingszone
Functioneel gebouwobject;Verblijfsobject
Weginrichtingsobject;Verblindingswering
Functie;Verdedigen van oever
Functie;Verfraaien
Constructie;Verharding
Functie;Verhinderen dat opdrijvend materiaal afstroomt
Goot;Verholen goot
Transportruimte;Verkeerruimte
Verkeerskundige zone;Verkeersaansluiting
Bord;Verkeersbord
Camera;Verkeerscamera
Gebouw;Verkeerscentrale
Verkeerskundige zone;Verkeersdrempel
Verkeerskundige zone;Verkeerseiland
Verkeerskundige zone;Verkeersknooppunt
Functionele zonering;Verkeerskundige zone
Verkeerslicht;Verkeerslantaarn
Installatie;Verkeerslicht
Paal;Verkeerslichtmast
Verkeerskundige zone;Verkeersplateau
Installatie;Verkeersregelinstallatie
Bord;Verkeersspiegel
Sensor;Verkeersteller
Speelterrein;Verkeerstuin
Verkeerskundige zone;Verkeerszone
Bord;Verkeerszuil
Bord;Verklikker transportleiding
Functie;Verlichten
Functie;Verlichten ter verfraaiing
Functie;Verlichten van een fietspad
Functie;Verlichten van een hoofdweg
Functie;Verlichten van een industriegebied
Functie;Verlichten van een wijkontsluitingsweg
Functie;Verlichten van een winkelgebied
Functie;Verlichten van een woonwijk
Functie;Verlichten voor oriëntatie
Paal;Verloopmast
Verbindingsstuk;Verloopstuk
Functie;Vermindering waterslageffect
Functie;Verplaatsen van water
Functie;Verpompen van afvalwater
Functie;Verpompen van water
Functie;Verpompt grondwater
Functie;Verpompt oppervlaktewater
Functie;Verpompt spoelwater
Functie;Verpompt tunnelwater
Registratie;Versie
Topologisch element;Vertex
Drainagestelsel;Vertikale drainage
Functie;Verversen
Functie;Verwijderen fosfaat
Functie;Verwijderen opgedreven delen
Functie;Verwijderen stikstof
Functie;Verwijderen van water 
Functie;Verwijderen vervuiling
Functie;Verwijderen zwevende stoffen
Drainagestelsel;Verzameldrainage
Beheerzone;Verzamelplaats
Drainageput;Verzamelput
Straatmeubilair;Verzinkbare piramide
Verkeerskundige zone;Verzorgingsplaats
Constructieonderdeel;Vetafscheider
Aansluitput;Vetvangput
Cement;Vezelcement
Materie;Vezels
Overbrugging;Viaduct
Gebouwcomponent;Videconstructie
Watervlakte;Vijver
Rioolgemaal;Vijzelgemaal
Pomp;Vijzelpomp
RuimtelijkGebied;Virtuele ruimte
FunctioneleEntiteit;Virtuele ruimte
Geo-object;Virtuele ruimte
Vispassage;Vislift
Faunaverblijfplaats;Visoverwinteringsplek
Faunaverblijfplaats;Vispaaiplaats
Faunavoorziening;Vispassage
Gebruikszone water;Visserijzone
Vispassage;Vissluis
Vispassage;Vistrap
Straatmeubilair;Vitrinekast
Straatmeubilair;Vlaggenmast
Straatmeubilair;Vlaggenmastput
Markering;Vlakmarkering
Faunaverblijfplaats;Vleermuiskelder
Faunavoorziening;Vleermuispassage
Vleermuispassage;Vleermuisportaal
Mechanische afsluiter;Vlinderklep
Recreatiezone;Vlindertuin
Markeringspaal;Vloeipaal
Waterstaatkundig kunstwerk;Vlonder
Deur;Vluchtdeur
Sensor;Vochtmeter
Bouwwerk;Voedersilo
Kabel;Voedingskabel
Weginrichtingsobject;Voegovergang
Steen;Voegsteen
Zand;Voegzand
Gebouw;Voertuigenstalling
Sportveld;Voetbalkooi
Sportterrein;Voetbalstadion
Sportveld;Voetbalveld
Verkeerslicht;Voetgangerslicht
Verkeerskundige zone;Voetpad
Beheerzone;Vogeleiland
Faunameubilair;Vogelhut
Faunameubilair;Vogelkijktoren
Faunameubilair;Vogelscherm
Faunaverblijfplaats;Vogeltil
Gedammerde leiding;Volgeschuimde leiding
Loze put;Volgeschuimde put
Gedammerde leiding;Volgezande leiding
Faunaverblijfplaats;Volière
Recreatiezone;Volkstuin
Functie;Volledig keren van water
Sporttoestel;Volleybalset
Sportveld;Volleybalveld
Waterstaatkundig kunstwerk;Voorde
Beton;Voorgespannen Beton
Functie;Voorkomen dat stromen elkaar raken
Functie;Voorkomen stank
Functie;Voorkomen van explosie
Waterinrichtingsobject;Vooroeververdediging
Apparaat;Voorschakelapparaat
Functie;Voortgeleiding van energie
Functie;Voortgeleiding van materie
Functie;Voortgeleiding van signaal
Straatmeubilair;Voorzieningenpaal
Straatmeubilair;Vrije plakplaats
Drainagestelsel;Vrijverval drainagestelsel
Vrijverval drainagestelsel;Vrijverval leidingsegment
Rioolleiding;Vrijverval rioolleiding
Rioolstelsel;Vrijverval rioolstelsel
Transportleiding;Vrijverval transportleiding
Transportstelsel;Vrijverval transportstelsel
Kast;VRI-kast
Complex;VRI-netwerk
Waterstaatkundig kunstwerk;Vuilvang
Constructieonderdeel;Vuilvangrooster
Installatie;Vuilwaterinnamestation
Vrijverval rioolleiding;Vuilwaterriool
Vrijverval rioolstelsel;Vuilwaterstelsel
Installatie;Vulpunt
Beheerzone;Vuurplek
Gebouw;Vuurtoren
Bord;Waarschuwingshek
Verkeerslicht;Waarschuwingslicht
Waterinrichtingsobject;Wachtplaatsvoorziening
Installatie;Wachttijdvoorspeller
Infiltratiereservoir;Wadi
Muur;Walmuur
Elektriciteitskast;Walstroomkast
Constructieonderdeel;Wand
Constructieonderdeel;Wandarm
Armatuur;Wandarmatuur
Verkeerskundige zone;Wandelpad
Functioneel ondergronds object;Warmte- en koudeopslag
Installatie;Warmtebron
Put;Warmtebronput
Camera;Warmtecamera
Markeringspaal;Warmtenetlocatiepaal
Installatie;Warmtepomp
Sensor;Warmtesensor
Stelsel;Warmtewinningsnet
Installatie;Warmtewisselaar
Watervlakte;Water onder duiker
Functie;Water spuiten
Waterbeheerzone;Waterbeheergebied
Functionele zonering;Waterbeheerzone
Waterbeheergebied;Waterbergingsgebied
Kunstwerk;Waterbushalte
Functie;Waterdicht maken
Straatmeubilair;Waterelement
Permanent water;Watergang
InformatieObject;Watergangbeheer-informatie
InformatieObject;Watergang-dimensionering
Constructie;Waterinrichtingsobject
Kast;Waterkast
Kering;Waterkering
Sportvoorziening;Waterkoeler
Kunstgras;Waterkunstgras
Sensor;Waterkwaliteitssensor
Holle leiding;Waterleiding
Markeringspaal;Waterleidinglocatiepaal
Put;Waterleidingput
NetwerkLink;WaterLink
Edge;Waterloopas
Put;Watermeterput
Kunstwerk;Waternetponton
Functie;Waterniveau in stelsel regelen
Meetinstrument;Waterniveaumeter
NetwerkNode;WaterNode
InformatieObject;Waterpeil-informatie
Reservoir;Waterplein
Publiekrechtelijk rechtspersoon;Waterschap
Registratieve ruimte;Waterschapgrens
Weg;Waterschapsweg
Constructieonderdeel;Waterslagvoorziening
Speeltoestel;Waterspeeltoestel
Speelterrein;Waterspeeltuin
Gebruikszone water;Watersportzone
Kunstwerk;Waterstaatkundig kunstwerk
Kunstwerk;Watertaxisteiger
Gebouw;Watertoren
Waterstaatkundig kunstwerk;Watertrap
Waterstaatkundig kunstwerk;Waterval
Transportruimte;Waterverplaatsingsruimte
Permanent water;Watervlakte
InformatieObject;Watervlaktebeheer-informatie
Waterbeheergebied;Waterwingebied
Sensor;Weegpunt
Apparaat;Weerstation
Holle leiding;Weesleiding
Verkeerskundige zone;Weg
Edge;Wegas
Verkeerskundige zone;Wegberm
Constructie;Wegconstructie
Weginrichtingsobject;Wegdekreflector
Verkeerskundige zone;Wegennet
Constructie;Weginrichtingsobject
Wegverkeerruimte;Wegknoop
NetwerkLink;WegLink
Verkeerskundige zone;Wegment
NetwerkNode;WegNode
Beheerzone;Wegvak
Verkeerruimte;Wegverkeerruimte
Functie;Weren van fauna
Functie;Weren van fietsers
Functie;Weren van honden
Functie;Weren van vee
Functie;Weren van verkeer
Functie;Weren van wild
Beheerzone;Werf
Muur;Werfmuur
Geografische ruimte;Werkgebied
Verkeerskundige zone;Werkpad
Externe overstortput;Werveloverstortput
Rioolput;Wervelput
Doorlaat;Wervelventiel
Beheerzone;Wervengebied
Kanaal;Wetering
Watervlakte;Wiel
Sportveld;Wielrenbaan
Apparaat;Wifi-antenne
Sensor;Wifi-sensor
Registratieve ruimte;Wijkgrens
Camera;Wildcamera
Straatmeubilair;Wildplakzuil
Weginrichtingsobject;Wildrooster
Sensor;Wildsignalering
Faunameubilair;Wildspiegel
Hout;Wilgentenen
Waterslagvoorziening;Windketel
Sensor;Windmeter
Bouwwerk;Windmolen
Groenobject;Windsingel
Bouwwerk;Windturbine
Apparaat;Windwaarschuwingssysteem
Straatmeubilair;Windzak
Dijklichaam;Winterdijk
Faunaverblijfplaats;Winterverblijf
Speeltoestel;Wiptoestel
Privaatrechtelijk rechtspersoon;Woningcorporatie
Perceel;Woninglocatie
Registratieve ruimte;Woonbootlocatie
Geografische ruimte;Woongebied
Gebouw;Woongebouw
Bebouwingskern;Woonkern
Registratieve ruimte;Woonplaatsgrens
Gebouw;Woonwagen
Registratieve ruimte;Woonwagenlocatie
Waterinrichtingsobject;Wrijfgording
Verbindingsstuk;Y-stuk
Constructieonderdeel;Zadel
Constructieonderdeel;Zakbaak
Materie;Zand
Zand;Zand voor kunstgras
Asfalt;Zandasfalt
Cement;Zandcement
Asfalt;Zandgrindasfalt
Golfbaanvoorziening;Zandhouder
Opslagbak;Zandkist
Infiltratiereservoir;Zandkoffer
Kunstgras;Zandkunstgras
Kunstgras;Zandkunstgras soft
Kunstgras;Zandkunstgras, gebonden onderbouw
Kunstgras;Zandkunstgras, ongebonden onderbouw
Kunstgras;Zandkunstgras, soft
Speelterrein;Zandspeelplaats
Speeltoestel;Zandspeeltoestel
Natuursteen;Zandsteen
Natuursteen;Zandsteen Gres-België
Aansluitput;Zandvangput
Onbegroeid terreindeel;Zandverstuiving
Watervlakte;Zee
Straatmeubilair;Zeecontainer
Mast;Zendmast
Beheerzone;Zichthoek
Sensor;Zichtmeter
Zand;Zilverzand
Vrijverval rioolleiding;Zinker
Rioolput;Zinkerput
Straatmeubilair;Zitelement
Functie;Zitgelegenheid faciliteren
Zitelement;Zitmuur
Zitelement;Zitrand
Zitelement;Zitsteen
Asfalt;ZOAB 11
Asfalt;ZOAB 16
Asfalt;ZOAB 22
Asfalt;ZOAB PA*
Dijklichaam;Zomerdijk
Faunaverblijfplaats;Zomerverblijf
Functie;Zonder toestandswijziging
Constructieonderdeel;Zonk
Installatie;Zonnepaneel
Opslagbak;Zoutbak
Holle leiding;Zoutwaterleiding
Pomp;Zuigerpomp
Functie;Zuiveren afvalwater
Waterbeheergebied;Zuiveringseenheid
Reservoir;Zuiveringsreservoir
Paalconstructie;Zweepmast
Functie;Zwemmen in oppervlaktewater
Weginrichtingsobject;Zwerfkei
Gebouwcomponent;Zwevende uitbouw
